News;Timestamp;Ueberschrift;Link;Old;Year
 Bei einem Feuer in einem Mehrfamilienhaus in der Arnoldshainer Straße konnten heute Nachmittag insgesamt 16 Menschen  darunter einige Kinder und eine schwangere Frau gerettet werden. Sie  wurden von den Rettungskräften versorgt und teilweise mit  Rauchvergiftungen in Krankenhäuser gebracht.    Gegen 15.15 Uhr wurden Feuerwehr und Polizei über Notruf  verständigt. Beim Eintreffen der Einsatzkräfte standen mehrere  Personen an den Fenstern ihrer Wohnung, sie wurden durch die  Feuerwehr über Leiterbühnen gerettet. Die Wege über das Treppenhaus  waren mit dichtem Rauch unpassierbar geworden. Nach bisherigen  Informationen ist das Feuer im Keller ausgebrochen. Zur Brandursache kann erst nach weiteren Ermittlungen durch die Kriminalpolizei eine  Aussage getroffen werden. Diese werden nach Abschluss der andauernden Löscharbeiten aufgenommen.    (André Sturmeit, Tel. 069-755 82112)    ;2007-01-31 17:39:00;POL-F: 070131 - 0132 Rödelheim: Feuer in einem Mehrfamilienhaus;"https://www.presseportal.de/blaulicht/pm/4970/934805
";False;2007
 Aufmerksamen Zeugen ist es zu verdanken, dass  gestern Abend, gegen 23.15 Uhr, ein Einbruch in einen Kiosk in der  Melibocusstraße vereitelt und der Täter noch am Tatort festgenommen  werden konnte.    Die Zeugen hatten zuvor beobachtet, wie ein junger Mann mit einem  Brecheisen versuchte, die Tür des Kioskes zu öffnen und alarmierten  umgehend die Beamten des 10. Polizeireviers die den Einbrecher noch  am Tatort festnahm.    Der Festgenommene, ein der Polizei hinreichend bekannter 16 Jahre  alter Frankfurter, wurde nach Abschluss der polizeilichen Maßnahmen  wieder auf freien Fuß gesetzt.    (Manfred Vonhausen/-82113)    ;2007-01-31 13:03:00;POL-F: 070131 - 0131 Niederrad: Einbrecher festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/934601
";False;2007
 Insgesamt 134 neue Polizeibeamtinnen und  Polizeibeamte kann das Polizeipräsidium Frankfurt am Main am  01.02.2007 begrüßen.    Sie werden nach einer einwöchigen Einweisung in die Besonderheiten der Stadt Frankfurt am Main und der hiesigen Strukturen die offenen  Stellen auf den Revieren und Kommissariaten besetzen.    Nach der Begrüßung durch die Behördenleitung besteht für  interessierte Medienvertreter am    Donnerstag, dem 01.02.2007, 10.00 Uhr, Polizeipräsidium, Pforte  Süd,    die Möglichkeit, das Ereignis im Bild festzuhalten. Hierzu sind  alle Medienvertreter herzlich eingeladen.    (Manfred Vonhausen/-82113)    ;2007-01-31 13:02:00;POL-F: 070131 - 0130 Frankfurt: Neue Polizeibeamtinnen und Polizeibeamte für Frankfurt;"https://www.presseportal.de/blaulicht/pm/4970/934598
";False;2007
 Ein bislang unbekannter Täter betrat am  Dienstag, den 30. Januar 2007, gegen 08.25 Uhr einen Einkaufskiosk in der Sandgasse. Der dort zu diesem Zeitpunkt alleine anwesenden  69-jährigen Angestellten hielt er ein Messer an den Hals. Als die  Geschädigte versuchte, mit ihren Händen den Hals zu schützen, fügte  ihr der Täter eine Schnittwunde am rechten Zeigefinger zu. Nachdem die Frau aufgefordert wurde, dass Bargeld herauszugeben,  händigte sie dem Unbekannten einen Betrag von ca. 190 EUR aus. Der  Räuber griff noch nach fünf Stangen Zigaretten und flüchtete dann zu  Fuß.    Täterbeschreibung:    20-30 Jahre alt und ca. 165 cm groß. Er war von normaler Statur  mit breiten Schultern. Trug ein weiss-schwarz-braun-kariertes Hemd  und einen dunklen Schal als Maskierung. Bewaffnet mit einem Klappmesser (Klingenlänge ca. acht Zentimeter). (Manfred Füllhardt, 069-75582116) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2007-01-31 13:00:00;POL-F: 070131 - 0129 Frankfurt-Innenstadt: Raub auf Kiosk;"https://www.presseportal.de/blaulicht/pm/4970/934593
";False;2007
 Eine 66-jährige Frankfurterin ging am Dienstag,  den 30. Januar 2007, gegen 21.50 Uhr zu Fuß durch die Stegstraße. Zwischen Diesterwegplatz und Textorstraße kam von hinten ein bislang  unbekannter Täter angerannt und riss der Frau die Handtasche von der  Schulter. Die 66-Jährige versuchte noch, die Tasche festzuhalten, kam aber zu Fall und verletzte sich.    Dem Täter gelang die Flucht. In der schwarzen Damenhandtasche  befanden sich die Geldbörse mit etwa 120 EUR Bargeld, der  Führerschein, die EC-Karte und die Digitalkamera der Geschädigten.    Die 66-Jährige verständigte von einer Gaststätte aus die Polizei.  Anschließend musste sie in einem Krankenhaus ambulant behandelt  werden. (Manfred Füllhardt, 069-75582116) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2007-01-31 12:58:00;POL-F: 070131 - 0128 Frankfurt-Sachsenhausen: Raub einer Handtasche;"https://www.presseportal.de/blaulicht/pm/4970/934590
";False;2007
 Am Montagabend, den 29.01.2007 gegen 18.45 Uhr,  wurde eine 18-jährige Frau an der Ecke  Waldschulstraße/Schwarzerlenweg Opfer einer Gruppe von Jugendlichen,  die ihre Tasche raubten.    Die Geschädigte wurde von mehreren weiblichen Personen aus der  Gruppe heraus geschlagen und der Tasche beraubt. In der Tasche  befanden sich 30 Euro Bargeld, ein Handy sowie verschiedene  persönliche Ausweispapiere. Teile der Beute konnten durch die Polizei in der Nähe aufgefunden werden.    Die Jugendlichen sollen alle etwa 17 Jahre alt gewesen und aus  Jungen und Mädchen bestanden haben.    (André Sturmeit, Tel. 069 - 755 82112)    ;2007-01-30 12:42:00;POL-F: 070130 - 0127  Griesheim:  Straßenraub;"https://www.presseportal.de/blaulicht/pm/4970/933978
";False;2007
 In der vergangenen Nacht gegen 01.00 Uhr wurde  in einem Hinterhof der Niddagaustraße ein 21-jähriger aus Frankfurt  stammender Inder von einem Zeugen leblos ausgefunden.    Trotz aller Bemühungen durch den alarmierten Notarzt ist der Mann  noch vor Ort verstorben. Er weist diverse Kopfverletzungen auf. Die genaue  Todesursache muss durch eine Obduktion festgestellt werden.    Die bisherigen Ermittlungen lassen derzeit keinen Schluss auf die  Umstände des Geschehens zu. Der Mann gehörte nicht in das zum Hof gehörende  Haus.    (André Sturmeit, Tel. 069 - 755 82112) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2007-01-30 12:40:00;POL-F: 070130 - 0126  Rödelheim:  21-jähriger Inder tot aufgefunden;"https://www.presseportal.de/blaulicht/pm/4970/933976
";False;2007
 Gestern Vormittag, gegen 10.50 Uhr, befand sich  eine 28 Jahre alte Frau mit ihrem Kleinkind auf dem Spielplatz an der Batterie am Mainufer in Höchst. Aus Richtung Bolongarostraße näherte sich ihr plötzlich ein  Unbekannter, blieb in etwa 20 m Entfernung an einem Gebüsch stehen  und fing an, in unsittlicher Weise an sich herumzuspielen. Erst als  die junge Frau ihr Handy hervorholte und die Polizei alarmierte  entfernte er sich zu den angrenzenden Parkplätzen in Richtung  Leunabrücke.    Eine sofortige Fahndung verlief negativ.    Der Unbekannte wird als Mitte 40 und 180 cm groß beschrieben. Er  trug dunkelblaue Jeans, einen dunkelgrünen Parka und eine schwarze  Schirmmütze.    (Manfred Vonhausen/-82113)    ;2007-01-30 12:37:00;POL-F: 070130 - 0125 Höchst: Exhibitionist belästigt junge Mutter;"https://www.presseportal.de/blaulicht/pm/4970/933971
";False;2007
 Ein weiterer folgenschwerer Unfall ereignete  sich am Dienstag, den 30. Januar 2007, gegen 6.30 Uhr auf der  Bundesautobahn A5 in Fahrtrichtung Darmstadt.    Nach ersten Ermittlungen dürfte zu diesem Zeitpunkt ein  37-Jähriger aus Neu-Anspach mit seinem Peugeot 306 auf dem ersten  Überholstreifen unterwegs gewesen sein, als ihn ein 18-jähriger  Frankfurter mit seinem Peugeot 205 überholte und unmittelbar vor ihm  wieder einscherte. Aus bislang ungeklärter Ursache gerieten daraufhin die beiden Fahrzeuge ins Schleudern. Während der 37-Jährige mit seinem 306 in die rechte Leitplanke  prallte, kam der 18-Jährige mit dem 205 auf dem ganz linken  Fahrstreifen quer zur Fahrtrichtung wieder zum Stehen.    Ein auf dem ganz linken Fahrstreifen herannahender Honda Accord,  gesteuert von einem 62-Jährigen aus Königstein, erkannte das  querstehende Fahrzeug zu spät und prallte frontal in dessen linke  Seite. Der Accord überschlug sich nach dem Zusammenprall und blieb  noch auf dem ganz linken Fahrtsreifen auf dem Dach liegen.    Der 18-Jährige wurde in seinem Fahrzeug eingeklemmt und musste von der Feuerwehr befreit werden. Der junge Mann verstarb noch an der  Unfallstelle an den erlittenen Verletzungen.    Der 37-jährige Fahrer des Peugeot 306 sowie dessen 24-jähriger  Beifahrer wurden leicht verletzt und in ein Krankenhaus verbracht.  Auch der 62-jährige Fahrer des Accord kam mit leichten Verletzungen  davon. Der Gesamtsachschaden an den beteiligten Fahrzeugen beziffert sich  auf etwa 15.000 EUR. Während den Bergungs- und Aufräumarbeiten konnte nur der rechte  Fahrstreifen der A5 in Richtung Süden offen bleiben. Der einsetzende  Berufsverkehr staute sich auf einer Länge von rund 18 Kilometern.   Gegen 10.00 Uhr war die Unfallstelle geräumt und der Verkehr konnte  langsam wieder fließen. Durch Schaulustige kam es auch in der Gegenrichtung zu einem  kilometerlangen, zähfließendem Verkehr. (Manfred Füllhardt, 069-75582116) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2007-01-30 12:19:00;POL-F: 070130 - 0124 Bundesautobahn A5: 18-jähriger Frankfurter tödlich verunglückt;"https://www.presseportal.de/blaulicht/pm/4970/933945
";False;2007
 Das richtige Gespür hatten am gestrigen  Nachmittag Zivilfahnder der Frankfurter Polizei,  als ihnen im  Bereich des Hauptbahnhofs ein bereits wegen Drogendelikten in  Erscheinung getretener Mann (33) auffiel. Er wurde observiert, als er mit öffentlichen Verkehrsmitteln zur  Eschersheimer Landstrasse fuhr. Hier hatte er Kontakt zu einem  Drogenkonsument, der dort offensichtlich auf seinen Dealer wartete.    Gegen 18.15 Uhr konnte durch die Observationskräfte die  Kontaktaufnahme und Rauschgiftübergabe zwischen dem Verdächtigen und  einem 22jährigen Bulgaren beobachtet werden.    Der 33-Jährige wurde daraufhin abgesetzt kontrolliert. Er hatte  eine Plombe Heroin bei sich, die er nach eigenen Angaben kurz zuvor  selbst käuflich erworben haben will.    Der Bulgare wurde weiterhin observiert. Nachdem er kurze Zeit  später in Richtung U-Bahn ging, erfolgte auch hier die Festnahme. Dabei  versuchte er,  sich von insgesamt 23 Plomben Heroin zu entledigen,  die jedoch sichergestellt wurden.    Weiterhin konnten 580,- EUR, zwei Handys sowie ein vermutlich  verfälschter bulgarischer Pass sichergestellt werden.    Beide Festgenommenen werden dem Haftrichter überstellt.    (Manfred Feist / 755-82117)    ;2007-01-30 11:55:00;POL-F: 070130 - 0123 Innenstadt: Drogendealer geschnappt;"https://www.presseportal.de/blaulicht/pm/4970/933923
";False;2007
