News;Timestamp;Ueberschrift;Link;Old;Year
 Am Sonntag, den 30. Januar 2011, gegen 08.10 Uhr, ging ein Anruf beim 3. Revier ein, wonach in der Hynspergstraße ein Pkw aufgebrochen wurde. Noch während der Anzeigenaufnahme meldeten sich weitere Geschädigte. Insgesamt wurden bislang 16 Pkw-Aufbrüche im Bereich des Holzhausenviertels gemeldet. Betroffen waren hauptsächlich Pkw der Marke Mercedes-Benz E-Klasse. In drei Fällen brachen der oder die Täter Pkw der Marke BMW auf. Nachdem die hintere Scheibe zerstört wurde, durchsuchte man die Mittelkonsole und das Handschuhfach. Die eingebauten Navigationsgeräte wurden nicht entwendet. Bislang kann zum Stehlgut noch keine Aussage getroffen werden. Die Polizei bittet Zeugen, die sachdienliche Hinweise zu dem geschilderten Vorkommnis machen können, sich mit dem 3. Polizeirevier unter der Telefonnummer 069-75510300 in Verbindung zu setzen. (Manfred Füllhardt, Tel. 069-755 82116)  ;2011-01-31 13:26:00;POL-F: 110131 - 132 Frankfurt-Nordend: Pkw-Aufbrüche;"https://www.presseportal.de/blaulicht/pm/4970/1757580
";False;2011
" Am Donnerstag, den 27. Januar 2011, gegen 08.50 Uhr, war eine 19-jährige Frankfurterin unterwegs mit der Straßenbahn der Linie 12 in Richtung Innenstadt. Zwischen den Haltestellen Harthweg und Kiesschneise zeigte sich ihr ein bislang unbekannter Mann in schamverletzender Weise. Die Frau stieg aus diesem Grund an der Haltestelle Harthweg aus, der Unbekannte fuhr weiter. Die Geschädigte beschreibt den Täter als 50-55 Jahre alt und 175-180 cm groß. Der Mann war übergewichtig und machte einen insgesamt ungepflegten Eindruck. Dickes Gesicht, graue, kurze Haare, Stirnglatze. Trug eine dunkle Jogginghose, eine Regenjacke und hatte eine ""Lidl-Tüte"" dabei. Die Polizei bittet Zeugen des Vorfalles sich mit dem 10. Polizeirevier unter der Telefonnummer 069-75511000 in Verbindung zu setzen. (Manfred Füllhardt, Tel. 069-755 82116)  ";2011-01-31 13:25:00;POL-F: 110131 - 131 Frankfurt-Schwanheim: In Straßenbahn belästigt;"https://www.presseportal.de/blaulicht/pm/4970/1757579
";False;2011
 Eine verkohlte Esse und etwa 10.000.- Euro Schaden sind die Bilanz eines Küchenbrandes vom gestrigen Vormittag in einem Einfamilienhaus in der Gummersbergstraße. Aus bislang noch nicht abschließend geklärten Gründen fing offenbar die Esse während der Zubereitung einer Mahlzeit Feuer. Obwohl es dem Hauseigentümer schnell gelang, das Feuer mit einem Kissen zu ersticken, entstand durch die Rauchgasentwicklung erheblicher Schaden an der Kücheneinrichtung. Um einen weiteren möglichen Schwelbrand auszuschließen, baute die alarmierte Feuerwehr die Esse vorsichtshalber aus. Die Ermittlungen zur Brandursache dauern an. (Manfred Vonhausen/Tel. 069-755 82113)  ;2011-01-31 13:25:00;POL-F: 110131 - 130 Frankfurt-Eckenheim: Küchenbrand;"https://www.presseportal.de/blaulicht/pm/4970/1757576
";False;2011
 Wegen eines brennenden Pkw (Peugeot 307) mussten gestern Abend, gegen 18.15 Uhr, Polizei und Feuerwehr auf die A 5 in Richtung Darmstadt (km 487) ausrücken. Dort war aus bislang nicht bekannten Gründen der Wagen eines 35 Jahre alten Fahrers aus Saarlouis während der Fahrt in Brand geraten. Ihm gelang es gerade noch, den Pkw auf den Standstreifen zu lenken und dort anzuhalten. Alle fünf Fahrzeuginsassen konnten den Pkw verlassen und blieben unverletzt. Der Wagen brannte jedoch vollständig aus. Die Ermittlungen zur genauen Brandursache dauern an. (Manfred Vonhausen/Tel. 069-755 82113)  ;2011-01-31 13:24:00;POL-F: 110131 - 129 Frankfurt-Autobahn: Fahrzeugbrand auf der BAB 5;"https://www.presseportal.de/blaulicht/pm/4970/1757573
";False;2011
" Im Rahmen einer allgemeinen Überprüfung stellten Beamte der OPE Süd gestern in einem leerstehenden Gewächshaus Im Bärengarten 11 eine größere Menge an Kupferkabeln fest. Offenbar hatte jemand die Kabel nach dort transportiert, teilweise abisoliert und in 1 - 2 m lange handliche Stück transportfähig konfektioniert. Auch auf dem davor liegenden Feldgelände lagen mehrere hundert Kilo Erd- bzw. Starkstromkabel. Daraufhin wurde der Bereich bis in die Nacht hinein unter Beobachtung gehalten. Als dann gegen 22.00 Uhr ein Pkw, besetzt mit zwei männlichen Personen zu dem Gewächshaus kamen und dort ihrer ""Arbeit"" nachgingen, sollten sie anschließend überprüft werden. Während dem einen die Flucht gelang, konnte eine Person, ein 39 Jahre alter Rumäne, festgenommen werden. Die Fahndung nach dem Flüchtigen verlief bis jetzt erfolglos. Die Ermittlungen - insbesondere hinsichtlich der Herkunft der Kabel - dauern an. (Manfred Vonhausen/Tel. 069-755 82113)  ";2011-01-31 13:23:00;POL-F: 110131 - 128 Frankfurt-Sachsenhausen: Festnahme im Zusammenhang mit Buntmetalldiebstahl;"https://www.presseportal.de/blaulicht/pm/4970/1757571
";False;2011
 Der guten Nase einer Zivilstreife des 1. Reviers ist die Festnahme eines hinreichend polizeibekannten Automarders (46) auf frischer Tat zu verdanken. Den Beamten war der Verdächtige im Bereich des Opernplatzes aufgefallen, als er in einen Innenhof ging, in dem sich Parkplätze für Dauerparker befinden. Hier überraschten sie ihn dann dabei, wie er gerade den Kofferraum eines dort abgestellten Pkw mit einem Schraubendreher aufbrechen wollte und nahmen ihn vorübergehend fest. Der Schaden an dem Pkw (Mercedes Cabriolet) beträgt etwa 250.- Euro. Nach Abschluss der polizeilichen Maßnahmen wurde der Mann wieder auf feien Fuß gesetzt. Die Ermittlungen hinsichtlich weiterer begangener Straftaten dauern an. (Manfred Vonhausen/069-75582113)  ;2011-01-30 11:29:00;POL-F: 110130 - 127 Innenstadt: Automarder festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/1757027
";False;2011
" Drei Leichtverletzte, drei stark beschädigte Fahrzeuge und etwa 14.000.- Euro Sachschaden sind die Bilanz eines Verkehrsunfalls, der sich gestern Abend, gegen 19.30 Uhr, auf der Kleyerstraße ereignete. Ein 32 Jahre alter Frankfurter war hier mit seinem Ford Mondeo in östlicher Richtung unterwegs - nach Angaben mehrerer Zeugen mit stark überhöhter Geschwindigkeit. Ein 42-Jähriger mit seinem Citroen Belingo und hinter ihm fahrend ein 38-Jähriger mit seinem Pkw fuhren in entgegen gesetzter Richtung. In Höhe der Gaststätte ""Kastanienwald"" wollte der 42-Jährige links abbiegen und hielt verkehrsbedingt sein Fahrzeug an. Der hinter ihm fahrende 38-Jährige ebenfalls. In diesem Moment verlor der entgegenkommende 32-Jährige offenbar wegen überhöhter Geschwindigkeit und Alkoholgenuss die Kontrolle über sein Fahrzeug, geriet auf die Gegenfahrbahn und stieß dann frontal auf die beiden stehenden Fahrzeuge. Den Führerschein des unter Alkoholeinfluss stehenden 32-Jährigen konnten die Beamten allerdings nicht einziehen, dieser war nach eigenem Bekunden bereits vor etwa vier Wochen eingezogen worden. Wegen der Bergungs- und Aufräumarbeiten wurde der Verkehr bis gegen 21.30 Uhr umgeleitet. Es kam zu Behinderungen. (Manfred Vonhausen/069-75582113)  ";2011-01-30 11:28:00;POL-F: 110130 - 126 Gallusviertel: Schwerer Verkehrsunfall;"https://www.presseportal.de/blaulicht/pm/4970/1757026
";False;2011
 Einem aufmerksamen Zeugen ist die Festnahme zweier Einbrecher zu verdanken, die am Freitag, dem 28.01.2011, gegen 21.20 Uhr, in die Kindertagesstätte in der Eichendorffstraße einbrachen. In dem Moment, als die alarmierten Beamten am Tatort eintrafen, sahen sie, wie drei junge Männer aus einem Fenster der Kita ausstiegen und sofort die Flucht ergriffen. Während zwei der Täter, ein 17 und ein 19-Jähriger, nach kurzer Verfolgung gestellt und festgenommen werden konnten, gelang dem dritten Täter die Flucht. Beute machte das Trio offenbar keine - allerdings richteten sie einen Schaden von etwa 1.000.- Euro an. Die beiden Festgenommen - übrigens der Polizei wegen ähnlicher Delikte bereits hinreichend bekannt - wurden nach Abschluss der polizeilichen Maßnahmen ihren Eltern überstellt. Die Ermittlungen hinsichtlich des dritten Täters dauern an. (Manfred Vonhausen/069-75582113)  ;2011-01-30 11:28:00;POL-F: 110130 - 125 Dornbusch: Täterfestnahme nach Einbruch in Kindertagesstätte;"https://www.presseportal.de/blaulicht/pm/4970/1757025
";False;2011
" Ihre Handtasche mit fast 1.700.- Euro Bargeld, einen i-Pod sowie getragenen Schmuck büßte eine 48 Jahre alte Frankfurterin am vergangenen Freitag, gegen 19.40 Uhr, bei einem Straßenraub ein. Der Täter konnte anschließend unerkannt entkommen. Die Frau hatte kurz zuvor an einem Geldausgabeautomaten Bargeld abgehoben und befand sich auf dem Weg nach Hause, als sie in der Wetteraustraße plötzlich am Arm gepackt und festgehalten wurde. Dann entriss ihr der Unbekannte die Handtasche und forderte sie mit den Worten ""Gib mir alles!"" auch die Herausgabe des getragenen Schmucks und des i-Pods. Danach lief der Täter in Richtung Günthersburgpark davon. Er wird als knapp 180 cm großer Südländer beschrieben. (Manfred Vonhausen/069-75582113)  ";2011-01-30 11:27:00;POL-F: 110130 - 124 Nordend: Straßenraub;"https://www.presseportal.de/blaulicht/pm/4970/1757024
";False;2011
 Opfer eines dreisten Handtaschenräubers wurde am vergangenen Freitag, gegen 17.15 Uhr, eine 79 Jahre alte Frankfurterin. Die Frau ging zu diesem Zeitpunkt auf der Raiffeisenstraße spazieren, als sie unvermittelt von hinten zu Boden gestoßen wurde. Gleichzeitig wurde ihr die Handtasche mit persönlichen Gegenständen entrissen. Der Täter konnte unerkannt entkommen. Sofort eingeleitete Fahndungsmaßnahmen blieben erfolglos. Das Opfer zog sich bei dem Sturz auf den Boden eine Platzwunde am Mund zu und wurde zur ambulanten Behandlung in ein Krankenhaus gebracht. (Manfred Vonhausen/069-75582113)  ;2011-01-30 11:26:00;POL-F: 110130 - 123 Riederwald: Handtaschenraub;"https://www.presseportal.de/blaulicht/pm/4970/1757023
";False;2011
