News;Timestamp;Ueberschrift;Link;Old;Year
 Gestern Nachmittag, 30.01.2014, gegen 14.55 Uhr gelang es Zivilfahndern der Polizei den gesuchten Bankräuber, der am Montag, 20.01.2014, eine Bankfiliale am Rossmarkt überfallen hat, festzunehmen. Die Beamten erkannten den Gesuchten im Bereich des Brockhausbrunnens auf der Zeil. Als sie den Mann in Höhe der Zeilgalerie anhielten und kontrollierten, stellte sich sehr schnell heraus, dass es sich tatsächlich um den gesuchten Bankräuber handelt. Der 70-jährige Frankfurter wurde festgenommen und in das Zentrale Polizeigewahrsam gebracht. Unmittelbar nach seiner Festnahme gestand der Mann den Bankraub und drei weitere Raubstraftaten, die er in Frankfurt beging. Ob der 70-Jährige darüber hinaus noch für weitere Straftaten verantwortlich ist, wird derzeit ermittelt. (Virginie Wegner, Tel. 069-755 82114)  ;2014-01-31 10:48:00;POL-F: 140131 - 88 Innenstadt: ERFOLGSMELDUNG - Bankräuber festgenommen!  (Nachtrag zu 140120 - 56 und 140130 - 86);"https://www.presseportal.de/blaulicht/pm/4970/2653124
";False;2014
 Ein Unbekannter hat am Donnerstag gegen 22:45 Uhr versucht, eine Spielhalle in der Bolongarostraße zu überfallen. Der Maskierte betrat die Spielothek mit einem länglichen Gegenstand in der Hand und wollte hinter den Tresen gehen, scheiterte aber schon an der Schwingtür. Die Angestellte sprach den Täter an, woraufhin er ohne Beute flüchtete. Der Mann soll etwa 180 bis 190 cm groß und stämmig gewesen sein. Er habe eine grau - braune Jacke, dunkle Jeans und weiße Schuhe getragen. Trotz Maskierung war ein Backenbart zu erkennen. (Thorsten Oberth, Tel. 069 - 755 82116)  ;2014-01-31 10:46:00;POL-F: 140131 - 87  Höchst: Räuber scheitert bei Überfall auf Spielhalle;"https://www.presseportal.de/blaulicht/pm/4970/2653117
";False;2014
 Wie den Medien bereits bekannt ist, überfiel am Montag, 20. Januar 2014, gegen 09.45 Uhr ein bewaffneter Mann eine Bankfiliale am Rossmarkt und erbeutete dabei 1.500 Euro Bargeld. Unter Vorhalt einer Pistole bedrohte der Täter die 20-jährige Angestellte und flüchtete mit dem ausgehändigten Bargeld, das er in einem mitgebrachten Beutel verstaute, in unbekannte Richtung. Nun fahndet die Polizei öffentlich mit Bildern einer Videoüberwachungsanlage nach dem Täter. Täterbeschreibung: Ca. 50 - 60 Jahre alt, etwa 175 cm groß und von normaler Figur. Seine Erscheinung wirkte ungepflegt, er trug einen Drei- bis Fünftagebart, war bekleidet mit einem schwarzen Basecap und einer längeren schwarzen Jacke. Neben dem beigefarbenen Beutel trug er einen schwarzen Rucksack bei sich. Hinweise, die zur Identifizierung des Täters führen, nimmt der Kriminaldauerdienst unter der 069-755 53111 oder jede andere Polizeidienststelle entgegen.  ;2014-01-30 15:59:00;POL-F: 140130 - 86 Frankfurt- Innenstadt: Nachtrag zu 140120 - 56: Raub in einer Bankfiliale - Öffentlichkeitsfahndung (Bilder beachten!);"https://www.presseportal.de/blaulicht/pm/4970/2652694
";False;2014
 Ein 74-jähriger Rentner ist am 25.11.2013 gegen 12.00 Uhr in der Elkenbachstraße brutal überfallen worden. Der Täter hat ihn ausgeraubt und schwer verletzt zurück gelassen. Scheinbar gezielt in einer Bank am Opernplatz beobachtet, als der betagte Rentner mehrere Tausend Euro in bar von seinem Konto am Schalter entgegen nahm, folgte der mutmaßliche Räuber seinem Opfer zunächst durch diverse Geschäfte in der Innenstadt bis zu dessen Haustür. Im Treppenhaus seines Wohnhauses attackierte er den alten Mann massiv und stieß ihn letztlich eine Treppe hinunter. Schwere Verletzungen in Form von Knochen- und Wirbelbrüchen sorgten für eine Operation und einem mehrere Wochen dauernden stationären Krankenhausaufenthalt. Aus der Jackentasche seines wehrlosen Opfers holte er den Geldumschlag und flüchtete. Im Rahmen der umfangreichen Ermittlungen des zuständigen Kommissariats 14 konnten inzwischen anhand von Überwachungskameras Bilder des Räubers (siehe Anlage) gesichert werden. Der Mann ist etwa 50 bis 60 Jahre alt und ca. 1,75 m groß. Er hat graumelierte Haare sowie einen Bauchansatz und trug seriöse Kleidung. Die Kriminalpolizei bittet um Mithilfe. Sachdienliche Hinweise zur Identität des Mannes können unter Telefon 069 - 7555 3111 oder bei jeder anderen Polizei- dienststelle gegeben werden. (André Sturmeit, Telefon 069 - 755 82112)  ;2014-01-30 14:18:00;POL-F: 140130 - 85 Nordend: Brutaler Raubüberfall auf einen Rentner - Öffentlichkeitsfahndung (Bilder beachten!!);"https://www.presseportal.de/blaulicht/pm/4970/2652544
";False;2014
"Frankfurt (ots) Die Frankfurter Polizei begleitet die Maßnahmen zur Sprengung des AfE-Turms am kommenden Sonntag um 10.00 Uhr in der Robert-Mayer-Str. in Frankfurt-Bockenheim. Von der Stadt Frankfurt wurden zwei Sperrzonen festgelegt. In der Sperrzone 1 mit einem Radius von 135 m um den AfE-Turm ist jeglicher Aufenthalt am Sonntag ab 08.00 Uhr untersagt. In der Sperrzone 2 mit einem Radius von 135 bis 250 m um den AfE-Turm ist der Aufenthalt im Freien ab 09.30 Uhr verboten. Das Verbot schließt auch Balkone, Dachterrassen und Außenanlagen mit ein. Die Bewohner können im Haus, bzw. in der Wohnung verbleiben. Es sind rückwärtige Räume aufzusuchen. Die Absperr- und Räummaßnahmen übernimmt das Technische Hilfswerk. Die Frankfurter Polizei unterstützt und überwacht diese Maßnahmen, die am Sonntag ab 07.00 Uhr beginnen. In der Zeit von 07.00 - 14.00 Uhr wird der öffentliche Personennahverkehr in diesem Bereich herausgenommen. Das betrifft die U 4 zwischen den Haltestellen ""Festhalle/Messe"" und ""Bockenheimer Warte"", die Buslinie 50 und die Straßenbahnlinien 16 und 17.  Im gleichen Zeitraum ist in dem Bereich mit erheblichen Behinderungen des Kraftfahrzeugverkehrs zu rechnen. Wir empfehlen, den Bereich großräumig zu umfahren. Im Bereich der Senckenberganlage Höhe Dantestraße sowie an der Friedrich-Ebert-Anlage/Ludwig-Erhard-Anlage wird es Bereiche geben, von denen man die Sprengung sicher beobachten kann. Wir empfehlen, mit öffentlichen Verkehrsmitteln zum Hauptbahnhof zu fahren und von dort über die Düsseldorfer Straße zur Friederich-Ebert-Anlage zu laufen. Die Polizei wird zu diesem Anlass auch twittern:  @polizei_ffm Bitte beachten Sie die beigefügte Karte zu den Sperrzonen. (Pressestelle Polizeipräsidium Frankfurt, Tel. 069-755 82110)  ";2014-01-30 12:26:00;POL-F: 140130 - 84 Bockenheim: Hinweise der Polizei zur Sprengung des AfE-Turms am 02. Februar 2014;"https://www.presseportal.de/blaulicht/pm/4970/2652368
";False;2014
 Am Mittwoch gegen 11.30 Uhr wurden zwei aus Libyen stammende Touristinnen in der Innenstadt Opfer eines Trickdiebstahls durch falsche Polizeibeamte. Die 50-jährige Geschädigte war zusammen mit ihrer 34-jährigen Begleiterin unterwegs, als sie von mehreren Männern im Bereich Kleine Bockenheimer Straße angesprochen wurde. Die Männer, die sich als Polizisten ausgaben, gaben vor, die Taschen beider Frauen nach Drogen durchsuchen zu müssen. Während die unbekannten Täter die Taschen durchsuchten, stahlen sie knapp eineinhalbtausend Euro aus der Geldbörse der 50-Jährigen. Die Täter, die ähnlich wie richtige Polizisten dunkelblau gekleidet gewesen sein sollen, konnten flüchten. Die Polizei ermittelt.  ;2014-01-30 12:06:00;POL-F: 140130 - 83 Innenstadt: Trickdiebstahl durch falsche Polizeibeamte;"https://www.presseportal.de/blaulicht/pm/4970/2652325
";False;2014
 Auch in der kommenden Woche werden im Frankfurter Stadtgebiet Geschwindigkeitsmessungen durchgeführt. Die Messgeräte stehen im Bereich folgender Örtlichkeiten: 03. Februar 2014 Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5, BAB A66 Fahrtrichtung Autobahnkreuz Nordwest, Bundesstraße 43 Anschlussstelle BAB A3, Gerbermühlstraße, Züricher Straße 04. Februar 2014  Bundesstraße 43 Anschlussstelle BAB A3, Babenhäuser Landstraße, Mainzer Landstraße, Hanauer Landstraße, Autobahnkreuz Frankfurt BAB A3/A5, Züricher Straße 05. Februar 2014 BAB A661 Fahrtrichtung Autobahnkreuz Offenbach, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5,  Gerbermühlstraße, Mainzer Landstraße, Bundesstraße 43 Anschlussstelle BAB A3 06. Februar 2014 Autobahnkreuz Frankfurt BAB A3/A5, Babenhäuser Landstraße, Hanauer Landstraße, Mainzer Landstraße, BAB A66 Fahrtrichtung Autobahnkreuz Nordwest, BAB A661 Fahrtrichtung Autobahnkreuz Offenbach 07. Februar 2014 Mainzer Landstraße, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5, Babenhäuser Landstraße, Bundesstraße 43 Anschlussstelle BAB A3, BAB A661 Fahrtrichtung Autobahnkreuz Offenbach  ;2014-01-30 12:05:00;POL-F: 140130 - 82 Frankfurt-Stadtgebiet: Geschwindigkeitsmessungen;"https://www.presseportal.de/blaulicht/pm/4970/2652321
";False;2014
 Im Zeitraum vom 23. Januar 2014 bis zum 24. Januar 2014 trieben bislang unbekannte Täter ihr Unwesen in einer Kleingartenanlage an der Gartenstraße (Rosistenanlage). Nach den bisherigen Erkenntnissen brachen der oder die Täter insgesamt 25 Gartenhütten auf und beschädigten diese hierbei teils erheblich. Ob und was gegebenenfalls entwendet wurde, bedarf noch weiterer Ermittlungen. Die Beamten der Reviere 8 und 9 rechnen mit weiteren Geschädigten, die sich noch melden könnten. Die Ermittlungen wurden aufgenommen.  ;2014-01-29 11:00:00;POL-F: 140129 - 81 Frankfurt-Sachsenhausen: Mehrere Gartenhütten aufgebrochen;"https://www.presseportal.de/blaulicht/pm/4970/2651144
";False;2014
 Dass ihm der Trickdiebstahl einer Kreditkarte derart zum Verhängnis wird, hätte ein 37-jähriger Langfinger nicht gedacht, nachdem der Montagnachmittag zunächst erfolgreich begann. Zuvor setzte sich der ganz unschuldig wirkende 37-Jährige in die Nähe dreier koreanischer Flugbegleiterinnen in ein Lokal. Und während die zierlichen Damen bei leckerem Essen wild plauderten, gelang es dem Trickdieb, die Kreditkarte einer der Frauen zu stehlen. Eilig verließ der Dieb nun das Lokal und kaufte direkt im nächsten Geschäft ein. Die noch immer beim Essen sitzende Geschädigte bekam plötzlich eine SMS von ihrer Bank. Hierin wurde der 33-Jährigen mitgeteilt, dass ihre Kreditkarte soeben um 300 EUR belastet wurde. Da das Geldinstitut freundlicherweise auch gleich das Geschäft angab, von wo die Buchung erfolgte, machte sich die Frau mit ihren Kolleginnen umgehend auf den Weg. Noch am Eingang kam ihnen der 37-Jährige entgegen. Die Damen erinnerten sich sofort an den Mann, der kurz zuvor noch am Nebentisch gesessen hatte. Auch die gestohlene Kreditkarte blinzelte aus seiner Jackentasche. Enttarnt und zur Rede gestellt ergriff der Langfinger plötzlich die Flucht. Die laut hinter ihm herrufende Stewardess machte Passanten aufmerksam, die den Dieb ergriffen und bis zum Eintreffen der Polizei festhielten. Auf der Wache entdeckten die Beamten noch einen Pullover, den der 37-Jährige während seines Einkaufs hat mitgehen lassen. Weitere Ermittlungen ergaben schließlich, dass der aus Rumänien stammende Mann auch für eine betrügerische Geldabhebung in Höhe von 3.500 EUR mittels einer gestohlenen Kreditkarte, sowie einen Taschendiebstahl aus dem Mai letzten Jahres verantwortlich ist. Zum Zwecke der Vorführung beim Haftrichter kam der Mann in die Haftzellen des Polizeipräsidiums.  ;2014-01-29 11:00:00;POL-F: 140129 - 80 Frankfurt-Innenstadt: Ein schlechter Tag für einen Trickdieb;"https://www.presseportal.de/blaulicht/pm/4970/2651143
";False;2014
 Wie der Presse bereits bekannt, wurde am Sonntag, den 26. Januar 2014, gegen 01.30 Uhr, ein 26-jähriger Frankfurter in einem Hinterhof in der Großen Rittergasse durch zwei bislang unbekannte Männer zusammengeschlagen. Der 26-Jährige erlitt dabei erhebliche Kopfverletzungen und musste anschließend in ein Krankenhaus verbracht werden. Die beiden Täter ließen erst von ihrem Opfer ab, nachdem ein Zeuge ihnen zurief, die Polizei zu verständigen. Danach flüchteten die Unbekannten in Richtung des Deutschherrnufers. Täterbeschreibung: 1. Täter: Anfang bis Mitte 20, etwa 180 cm groß und schlank. Hellgraue oder beige Jacke mit Fellkapuze. Das Fell war heller als der Jackenstoff. Kurze Haare. Deutscher oder Osteuropäer. 2. Täter: Dunkle Haare, etwas breiter gebaut als der Komplize und etwa 172 cm groß. Etwas dunklere Haut, vermutlich Südländer. Anfang 20 Jahre alt. Die Polizei bittet Zeugen, die sachdienliche Hinweise zum Tatgeschehen oder den Tätern machen können, sich mit dem Kriminaldauerdienst der Frankfurter Polizei unter der Telefonnummer 069-75553111 oder jeder anderen Polizeidienststelle in Verbindung zu treten.  ;2014-01-28 15:53:00;POL-F: 140128 - 79 Frankfurt-Sachsenhausen: Nachtrag zur Meldung Nummer 140126-77 -  26-Jähriger zusammengeschlagen und schwer verletzt;"https://www.presseportal.de/blaulicht/pm/4970/2650664
";False;2014
