News;Timestamp;Ueberschrift;Link;Old;Year
 Ein vollkommen ausgebranntes Badezimmer ist das Resultat eines fahrlässig verursachten Brandes heute Morgen gegen 07.30 Uhr im Biegweg. Mit Kerzen wollte sich der 48-jährige Wohnungsbesitzer nach eigener Aussage behelfen, da ihm aufgrund ausstehender Zahlungen der Strom abgestellt wurde. Diese Kerzen hatte der Mann im Bad aufgestellt. Wenig später kam es zu einer starken Qualmentwicklung in der Wohnung des 48-Jährigen, was von den anderen Bewohnern nicht unbemerkt blieb. Alle Hausbewohner verließen selbstständig das Anwesen und die herbeigerufene Feuerwehr konnte den Brand im Badezimmer des 48-Jährigen löschen. Durch das Feuer ist ein Gesamtschaden von ungefähr 30.000 EUR entstanden. Personen wurden glücklicherweise nicht verletzt. (Isabell Neumann, 069-755 82115)  ;2012-01-31 11:24:00;POL-F: 120131 - 143 Frankfurt-Bockenheim: Kerzen verursachen Wohnungsbrand;"https://www.presseportal.de/blaulicht/pm/4970/2190458
";False;2012
 Markenbrillen im Wert von mindestens 50.000 EUR und etwa 1.100 EUR Bargeld erbeuteten bislang unbekannte Einbrecher bei einem Einbruchdiebstahl in einen Optikerladen in der Schillerstraße. Darüber hinaus richteten sie beim Aufbrechen mehrerer Vitrinen beträchtlichen Schaden an. Von den Tätern fehlt bislang jede Spur. Nach den bisherigen Ermittlungen gelangten der oder die Täter in der Nacht zum vergangenen Montag irgendwie in das Treppenhaus des Gebäudes und brachen anschließend eine im ersten Obergeschoß liegende Eingangstür des Optikers auf. Danach verpackten sie die Brillen etc. und verschwanden auf dem gleichen Weg wie sie gekommen waren. Die Ermittlungen in der Sache dauern an. (Manfred Vonhausen, 069-755 82113)  ;2012-01-31 11:08:00;POL-F: 120131 - 142 Frankfurt-Innenstadt: Hoher Schaden bei Einbruch in Optikerladen;"https://www.presseportal.de/blaulicht/pm/4970/2190433
";False;2012
 Bereits am 23. Januar 2012 konnten Zivilbeamte nach einem Zeugenhinweis einen 17-jährigen Rumänen nach drei versuchten Trickdiebstählen an der Hauptwache festnehmen. Im Laufe der folgenden Ermittlungen konnten dem jungen Mann allein für den Zeitraum vom 19. Dezember 2011 bis zum 23. Januar 2012 vier vollendete und sieben versuchte Trickdiebstähle an Geldautomaten und ein Trickdiebstahl an einer Hotelbar zugeordnet werden. Die Vorgehensweise bei seinen Taten war zwar sehr einfach, aber eben auch sehr erfolgreich. Er wartete jeweils schräg hinter den Geschädigten bis diese ihre PIN zur Geldabhebung am Automaten eingegeben hatten. Dann hielt er ihnen einen Prospekt oder eine Zeitung vor das Gesicht, versperrte ihnen die Sicht auf den Geldautomaten und drückte blitzschnell die 500 EUR Taste. Anschließend nahm er das Geld heimlich aus dem Ausgabefach und verschwand. Die Geschädigten bemerkten den Diebstahl oftmals erst Tage später bei der Kontrolle ihrer Kontoauszüge. Mit genau dieser Masche machte der 17-Jährige schon 2007 in Dortmund ein gutes Geschäft. Weil er aber jetzt vom Haftrichter in U-Haft geschickt wurde, wird er seine einträgliche Geschäftsidee vorübergehend ruhen lassen müssen. In diesem Zusammenhang weist die Polizei nochmals darauf hin, gerade bei Geldabholungen bzw. bei der Eingabe der PIN besondere Vorsicht walten zu lassen. (Manfred Vonhausen, 069-755 82113)  ;2012-01-31 11:07:00;POL-F: 120131 - 141 Frankfurt-Innenstadt: Trickdieb festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/2190432
";False;2012
 Beim Brand einer Maschinenanlage in der Halle eines metallverarbeitenden Betriebs in der Gutleutstraße, der sich gestern gegen 16.50 Uhr ereignete, entstand nach ersten Schätzungen ein Schaden von bis zu 150.000 EUR. Das Feuer entstand vermutlich durch Funkenflug in einer sogenannten Stahlkiesstrahlanlage und zerstörte diese komplett. Angrenzende Gebäudeteile der 30.000 Quadratmeter großen Halle wurden ebenfalls in Mitleidenschaft gezogen. Bei ersten Löschversuchen erlitten sechs Firmenmitarbeiter leichte Rauchgasvergiftungen. Sie konnten nach ambulanter Behandlung aus dem Krankenhaus entlassen werden. Die Löscharbeiten waren gegen 18.20 Uhr beendet. Die Ermittlungen zur genauen Brandursache dauern derzeit noch an. (Rüdiger Reges, 069-755 82111)  ;2012-01-31 11:06:00;POL-F: 120131 - 140 Frankfurt-Gutleutviertel: Hoher Schaden bei Brand in Gewerbebetrieb;"https://www.presseportal.de/blaulicht/pm/4970/2190431
";False;2012
 Auf rund 30.000 EUR wird die Höhe des bei einem Wohnungsbrand in der Saalburgstraße entstandenen Schaden geschätzt, der sich gestern gegen 16.35 Uhr ereignete. Die 46 jährige Mieterin verließ kurz zuvor ihre Wohnung und kam zurück, als die Feuerwehr schon mit den Löscharbeiten zugange war. Nach ersten Erkenntnissen von Polizei und Feuerwehr brach der Brand im Bereich einer Couch im Wohnzimmer aus. Hier befanden sich zahlreiche Kerzen und Feuerzeuge. Vermutlich wurde eine Kerze nicht oder nicht vollständig gelöscht. Durch das Feuer wurden Teile des Mobiliars der Maisonnette-Wohnung im EG und 1. OG eines Mehrfamilienhauses zerstört. Der Rest der Wohnung wurde durch die Rauchentwicklung in Mitleidenschaft gezogen. Verletzt wurde niemand. Eine Mietpartei, die sich bei Brandausbruch in ihrer Wohnung im Haus befand, wurde für die Dauer der Löscharbeiten evakuiert. (Rüdiger Reges, 069-755 82111)  ;2012-01-31 11:06:00;POL-F: 120131 - 139 Frankfurt-Bornheim: Hoher Schaden bei Wohnungsbrand;"https://www.presseportal.de/blaulicht/pm/4970/2190430
";False;2012
 Zwei Einbrecher konnten heute Nacht im Anschluss an ihre Tat festgenommen werden, nachdem sie gegen 01.30 Uhr in der Eckenheimer Landstraße in einen Imbiss einbrachen. Schon das Einbrechen an sich blieb nicht unbemerkt. Anwohner hatten verdächtige Geräusche gehört und bereits die Polizei alarmiert. Die zwei 25 und 27 Jahre alten Diebe hatten sich unterdessen ein paar Getränkedosen und etwas Münzgeld eingesteckt und den Imbiss wieder verlassen. Der anfahrenden Streife sind die zwei Gauner dann aber schnell aufgefallen. Bei der Kontrolle fiel den Beamten dann entsprechendes Einbruchwerkzeug und das Diebesgut in die Hände. Beide Täter wurden in die Haftzellen des Polizeipräsidiums eingeliefert. (Isabell Neumann, 069-755 82115)  ;2012-01-31 11:05:00;POL-F: 120131 - 138 Frankfurt-Nordend: Kleine Beute, große Wirkung;"https://www.presseportal.de/blaulicht/pm/4970/2190429
";False;2012
 Bei einer handfesten Auseinandersetzung ist heute Mittag gegen 11.35 Uhr ein 28-jähriger Türke schwer verletzt worden. Die Tat geschah im Eingangsbereich des Hochhauses Gerhart-Hauptmann-Ring 410. Der Mann erlitt mehrere Messerstiche in den Oberkörper, die ihm ein gleichaltriger Landsmann zugefügt haben soll. Im Krankenhaus konnte das Leben durch eine Operation gerettet werden. Der Hintergrund oder die Motivation zur Tat sind derzeit völlig unklar. Die Suche nach dem mutmaßlichen Messerstecher läuft derzeit auf Hochtouren. Er ist polizeilich schon mehrfach mit Gewalt- und Drogendelikten in Erscheinung getreten. Mehrere unmittelbar durchgeführte Durchsuchungen an bekannten Kontaktadressen des Tatverdächtigen verliefen bisher ohne Erfolg. Während der umfangreichen polizeilichen Maßnahmen musste der Gerhart-Hauptmann-Ring vorübergehend voll gesperrt werden. Die Ermittlungen wurden durch die Mordkommission übernommen und dauern an. (André Sturmeit, Telefon 069 - 755 82112)  ;2012-01-30 16:48:00;POL-F: 120130 - 137 Niederursel: Messerstiche im Hauseingang;"https://www.presseportal.de/blaulicht/pm/4970/2190130
";False;2012
" Sehr verdächtig fand eine Streifenbesatzung das Verhalten eines revierbekannten Jugendlichen, der sich am Sonntagmorgen gegen 04.30 Uhr zwischen geparkten Fahrzeugen in der Weilbrunnstraße vor dem heranrollenden Polizeiwagen versteckte. Eine Kontrolle führte zum Auffinden eines mobilen Navis, zu dem der 14-jährige Marokkaner keine schlüssigen Angaben machen konnte und sich in Widersprüche verstrickte. Das Gerät wurde erstmal sichergestellt Ein Tatort, bei dem das Navi entwendet wurde, konnte zunächst nicht ausfindig gemacht werden. Dieser ergab sich jedoch schon wenige Stunden später, als die Polizei zu einem Pkw-Aufbruch in die Siegmund-Freud-Straße gerufen wurde, bei dem offenbar ein mobiles Navigationsgerät entwendet wurde (die Halterung lag noch im Fußraum). Da der Geschädigte zunächst nicht befragt werden konnte, wurde kurzerhand in dem bei dem Tatverdächtigen sichergestellten Navi der ""Heimatort"" angeklickt und tatsächlich wurden Straße und Hausnummer angezeigt, vor der das aufgebrochene Auto stand. Der Jugendliche wurde nach den polizeilichen Maßnahmen nach Hause entlassen. (Rüdiger Reges, 069-755 82111)  ";2012-01-30 11:30:00;POL-F: 120130 - 136 Frankfurt-Eckenheim: Täterfestnahme nach Diebstahl aus Pkw;"https://www.presseportal.de/blaulicht/pm/4970/2189703
";False;2012
 Zahlreiche Gegenstände entwendeten bislang unbekannte Einbrecher aus der Wohnung einer 60-jährigen Frau in der Oberlindau in der Zeit von Mittwoch, 17.30 Uhr bis Sonntag, 13.00 Uhr. Die Täter drangen gewaltsam über die Terrassentür in die Wohnung ein. Die Räume der Erdgeschosswohnung des  Mehrfamilienhauses wurden durchsucht und neben zwei Flachbildfernsehern und einem Laptop auch ein Pelzmantel, iranisches Bargeld und diverser Goldschmuck gestohlen. Die genaue Schadenshöhe steht zurzeit noch nicht fest. Die Ermittlungen wurden aufgenommen. (Rüdiger Reges, 069-755 82111)  ;2012-01-30 11:29:00;POL-F: 120130 - 135 Frankfurt-Westend: Wohnungseinbruch;"https://www.presseportal.de/blaulicht/pm/4970/2189698
";False;2012
 Unsagbares Glück hatte ein 23-jähriger Frankfurter, der gestern Morgen von einer U-Bahn überrollt wurde und anschließend fast unverletzt unter ihr hervorkrabbelte. Nach den bisherigen Ermittlungen war der erheblich alkoholisierte junge Mann gegen 06.33 Uhr auf dem Bahnsteig der U-Bahnhaltestelle Alfred-Brehm-Platz gestolpert und in das Gleisbett gefallen. Der Fahrer (56) einer im gleichen Moment einfahrenden U-Bahn leitete zwar sofort eine Notbremsung ein, brachte den Zug aber erst sieben Meter hinter dem im Gleisbett Liegenden zum Stehen. Ein vor Ort anwesender Notarzt stellte lediglich eine Schädelprellung und ein Schädel-Hirn-Trauma fest. Gleichwohl wurde der Verletzte zur Beobachtung in eine Klinik verbracht. Anstatt sich aber über soviel Glück im Unglück zu freuen, quittierte der 23-Jährige die mahnenden Worte seitens der Rettungskräfte und der Polizei nur abfällig in Fäkalsprache. (Manfred Vonhausen, 069-755 82113)  ;2012-01-30 11:28:00;POL-F: 120130 - 134 Frankfurt-Ostend: 23-Jähriger von U-Bahn überrollt - oder der zweite Geburtstag;"https://www.presseportal.de/blaulicht/pm/4970/2189695
";False;2012
