Hauptartikel;Timestamp;Ueberschrift;Link;Old;Year;Ort;Sekundaerer Ort;Loc1;Loc2;Loc3;Loc4;Author;Author2;Ueberschrift_clean;Ueberschrift_lem;Ueberschrift_lem_no_stop;Ueberschrift_split;Ueberschrift_clean2;Ueberschrift_lem2;Ueberschrift_lem_clean2;Ueberschrift_lem_clean_no_stop;Ueberschrift_kombi;Hauptartikel_clean;Hauptartikel_lem;Hauptartikel_lemm_clean;Hauptartikel_lem_clean_no_stop
 Ein Unbekannter hat am Donnerstag gegen 22:45 Uhr versucht, eine Spielhalle in der Bolongarostraße zu überfallen. Der Maskierte betrat die Spielothek mit einem länglichen Gegenstand in der Hand und wollte hinter den Tresen gehen, scheiterte aber schon an der Schwingtür. Die Angestellte sprach den Täter an, woraufhin er ohne Beute flüchtete. Der Mann soll etwa 180 bis 190 cm groß und stämmig gewesen sein. Er habe eine grau - braune Jacke, dunkle Jeans und weiße Schuhe getragen. Trotz Maskierung war ein Backenbart zu erkennen. (Thorsten Oberth, Tel. 069 - 755 82116)  ;2014-01-31 10:46:00;:  räuber scheitert bei überfall auf spielhalle;"https://www.presseportal.de/blaulicht/pm/4970/2653117
";False;2014;höchst;;höchst;;;;;thorsten oberth;   räuber scheitert bei überfall auf spielhalle;    räuber scheitern bei überfall auf spielhalle;räuber scheitern überfall spielhalle;        Über Fall Spiel Halle                      ;        über fall spiel halle                      ;         über fall spiel halle                      ;         über fall spiel halle                      ;spiel halle;spiel halle räuber scheitern überfall spielhalle; ein unbekannter hat am donnerstag gegen   uhr versucht  eine spielhalle in der bolongarostraße zu überfallen  der maskierte betrat die spielothek mit einem länglichen gegenstand in der hand und wollte hinter den tresen gehen  scheiterte aber schon an der schwingtür  die angestellte sprach den täter an  woraufhin er ohne beute flüchtete  der mann soll etwa   bis   cm groß und stämmig gewesen sein  er habe eine grau   braune jacke  dunkle jeans und weiße schuhe getragen  trotz maskierung war ein backenbart zu erkennen   thorsten oberth  tel           ;  einen unbekannt haben am donnerstag gegen    uhr versuchen   einen spielhalle in der bolongarostraße zu überfallen   der maskieren betreten der spielothek mit einer länglich gegenstand in der hand und wollen hinter der tresen gehen   scheitern aber schon an der schwingtür   der angestellt sprechen der täter an   woraufhin ich ohne beute flüchten   der mann soll etwa    bis    cm groß und stämmig sein mein   ich habe einen grau    braune jacke   dunkel jeans und weiße schuhe tragen   trotzen maskierung sein einen backenbart zu erkennen    thorsten oberth   tel           ;  einen unbekannt haben am donnerstag gegen    uhr versuchen   einen spielhalle in der bolongarostraße zu überfallen   der maskieren betreten der spielothek mit einer länglich gegenstand in der hand und wollen hinter der tresen gehen   scheitern aber schon an der schwingtür   der angestellt sprechen der täter an   woraufhin ich ohne beute flüchten   der mann soll etwa    bis    cm groß und stämmig sein mein   ich habe einen grau    braune jacke   dunkel jeans und weiße schuhe tragen   trotzen maskierung sein einen backenbart zu erkennen    thorsten oberth   tel           ;unbekannt versuchen spielhalle bolongarostraße überfallen maskieren betreten spielothek länglich gegenstand hand tresen scheitern schwingtür angestellt sprechen täter beute flüchten cm groß stämmig grau braune jacke dunkel jeans schuhe trotzen maskierung backenbart erkennen thorsten oberth tel
 Ein 74-jähriger Rentner ist am 25.11.2013 gegen 12.00 Uhr in der Elkenbachstraße brutal überfallen worden. Der Täter hat ihn ausgeraubt und schwer verletzt zurück gelassen. Scheinbar gezielt in einer Bank am Opernplatz beobachtet, als der betagte Rentner mehrere Tausend Euro in bar von seinem Konto am Schalter entgegen nahm, folgte der mutmaßliche Räuber seinem Opfer zunächst durch diverse Geschäfte in der Innenstadt bis zu dessen Haustür. Im Treppenhaus seines Wohnhauses attackierte er den alten Mann massiv und stieß ihn letztlich eine Treppe hinunter. Schwere Verletzungen in Form von Knochen- und Wirbelbrüchen sorgten für eine Operation und einem mehrere Wochen dauernden stationären Krankenhausaufenthalt. Aus der Jackentasche seines wehrlosen Opfers holte er den Geldumschlag und flüchtete. Im Rahmen der umfangreichen Ermittlungen des zuständigen Kommissariats 14 konnten inzwischen anhand von Überwachungskameras Bilder des Räubers (siehe Anlage) gesichert werden. Der Mann ist etwa 50 bis 60 Jahre alt und ca. 1,75 m groß. Er hat graumelierte Haare sowie einen Bauchansatz und trug seriöse Kleidung. Die Kriminalpolizei bittet um Mithilfe. Sachdienliche Hinweise zur Identität des Mannes können unter Telefon 069 - 7555 3111 oder bei jeder anderen Polizei- dienststelle gegeben werden. (André Sturmeit, Telefon 069 - 755 82112)  ;2014-01-30 14:18:00;:  brutaler raubüberfall auf einen rentner   öffentlichkeitsfahndung (bilder beachten!!);"https://www.presseportal.de/blaulicht/pm/4970/2652544
";False;2014;nordend;;nordend;;;;;andr sturmeit;   brutaler raubüberfall auf einen rentner   öffentlichkeitsfahndung  bilder beachten ;    brutal raubüberfall auf ein rentner    öffentlichkeitsfahndung   bilder beachten;brutal raubüberfall rentner öffentlichkeitsfahndung bilder beachten;    Raub Überfall     Öffentlichkeits Fahndung Bil Der Beach Ten                  ;    raub überfall     öffentlichkeits fahndung bil der beach ten                  ;     raub überfall      öffentlichkeits fahndung bil der beach ten                  ;     raub überfall      öffentlichkeits fahndung bil der beach ten                  ;raub überfall öffentlichkeits fahndung bil beach;raub überfall öffentlichkeits fahndung bil beach brutal raubüberfall rentner öffentlichkeitsfahndung bilder beachten; ein  jähriger rentner ist am   gegen   uhr in der elkenbachstraße brutal überfallen worden  der täter hat ihn ausgeraubt und schwer verletzt zurück gelassen  scheinbar gezielt in einer bank am opernplatz beobachtet  als der betagte rentner mehrere tausend euro in bar von seinem konto am schalter entgegen nahm  folgte der mutmaßliche räuber seinem opfer zunächst durch diverse geschäfte in der innenstadt bis zu dessen haustür  im treppenhaus seines wohnhauses attackierte er den alten mann massiv und stieß ihn letztlich eine treppe hinunter  schwere verletzungen in form von knochen  und wirbelbrüchen sorgten für eine operation und einem mehrere wochen dauernden stationären krankenhausaufenthalt  aus der jackentasche seines wehrlosen opfers holte er den geldumschlag und flüchtete  im rahmen der umfangreichen ermittlungen des zuständigen kommissariats   konnten inzwischen anhand von überwachungskameras bilder des räubers  siehe anlage  gesichert werden  der mann ist etwa   bis   jahre alt und ca    m groß  er hat graumelierte haare sowie einen bauchansatz und trug seriöse kleidung  die kriminalpolizei bittet um mithilfe  sachdienliche hinweise zur identität des mannes können unter telefon         oder bei jeder anderen polizei  dienststelle gegeben werden   andr  sturmeit  telefon          ;  einen   jährig rentner sein am    gegen    uhr in der elkenbachstraße brutal überfallen werden   der täter haben ich ausrauben und schwer verletzen zurück lassen   scheinbar zielen in einer bank am opernplatz beobachten   als der betagt rentner mehrer tausend euro in bar von mein konto am schalter entgegen nehmen   folgen der mutmaßlich räuber mein opfer zunächst durch divers geschäfte in der innenstadt bis zu der haustür   im treppenhaus mein wohnhauses attackieren ich der alt mann massiv und stoßen ich letztlich einen treppe hinunter   schwer verletzungen in form von knochen   und wirbelbrüchen sorgen für einen operation und einer mehrer wochen dauernd stationär krankenhausaufenthalt   aus der jackentasche mein wehrlos opfers holen ich der geldumschlag und flüchten   im rahmen der umfangreich ermittlungen der zuständig kommissariats    können inzwischen anhand von überwachungskameras bilder der räubers   siehe anlage   sichern werden   der mann sein etwa    bis    jahre alt und ca     m groß   ich haben graumeliert haare sowie ein bauchansatz und tragen seriöse kleidung   der kriminalpolizei bitten um mithilfe   sachdienliche hinweise zur identität der mannes können unter telefon          oder bei jed ander polizei   dienststelle geben werden    andr   sturmeit   telefon          ;  einen   jährig rentner sein am    gegen    uhr in der elkenbachstraße brutal überfallen werden   der täter haben ich ausrauben und schwer verletzen zurück lassen   scheinbar zielen in einer bank am opernplatz beobachten   als der betagt rentner mehrer tausend euro in bar von mein konto am schalter entgegen nehmen   folgen der mutmaßlich räuber mein opfer zunächst durch divers geschäfte in der innenstadt bis zu der haustür   im treppenhaus mein wohnhauses attackieren ich der alt mann massiv und stoßen ich letztlich einen treppe hinunter   schwer verletzungen in form von knochen   und wirbelbrüchen sorgen für einen operation und einer mehrer wochen dauernd stationär krankenhausaufenthalt   aus der jackentasche mein wehrlos opfers holen ich der geldumschlag und flüchten   im rahmen der umfangreich ermittlungen der zuständig kommissariats    können inzwischen anhand von überwachungskameras bilder der räubers   siehe anlage   sichern werden   der mann sein etwa    bis    jahre alt und ca     m groß   ich haben graumeliert haare sowie ein bauchansatz und tragen seriöse kleidung   der kriminalpolizei bitten um mithilfe   sachdienliche hinweise zur identität der mannes können unter telefon          oder bei jed ander polizei   dienststelle geben werden    andr   sturmeit   telefon          ;rentner elkenbachstraße brutal überfallen täter ausrauben schwer verletzen zielen bank opernplatz beobachten betagt rentner euro bar konto schalter folgen räuber opfer geschäfte innenstadt haustür treppenhaus wohnhauses attackieren massiv stoßen treppe schwer verletzungen form knochen wirbelbrüchen sorgen operation wochen dauernd stationär krankenhausaufenthalt jackentasche wehrlos opfers holen geldumschlag flüchten rahmen umfangreich ermittlungen zuständig kommissariats anhand überwachungskameras bilder räubers anlage sichern jahre groß graumeliert haare bauchansatz seriöse kleidung hinweise identität mannes telefon dienststelle andr sturmeit telefon
"Frankfurt (ots) Die Frankfurter Polizei begleitet die Maßnahmen zur Sprengung des AfE-Turms am kommenden Sonntag um 10.00 Uhr in der Robert-Mayer-Str. in Frankfurt-Bockenheim. Von der Stadt Frankfurt wurden zwei Sperrzonen festgelegt. In der Sperrzone 1 mit einem Radius von 135 m um den AfE-Turm ist jeglicher Aufenthalt am Sonntag ab 08.00 Uhr untersagt. In der Sperrzone 2 mit einem Radius von 135 bis 250 m um den AfE-Turm ist der Aufenthalt im Freien ab 09.30 Uhr verboten. Das Verbot schließt auch Balkone, Dachterrassen und Außenanlagen mit ein. Die Bewohner können im Haus, bzw. in der Wohnung verbleiben. Es sind rückwärtige Räume aufzusuchen. Die Absperr- und Räummaßnahmen übernimmt das Technische Hilfswerk. Die Frankfurter Polizei unterstützt und überwacht diese Maßnahmen, die am Sonntag ab 07.00 Uhr beginnen. In der Zeit von 07.00 - 14.00 Uhr wird der öffentliche Personennahverkehr in diesem Bereich herausgenommen. Das betrifft die U 4 zwischen den Haltestellen ""Festhalle/Messe"" und ""Bockenheimer Warte"", die Buslinie 50 und die Straßenbahnlinien 16 und 17.  Im gleichen Zeitraum ist in dem Bereich mit erheblichen Behinderungen des Kraftfahrzeugverkehrs zu rechnen. Wir empfehlen, den Bereich großräumig zu umfahren. Im Bereich der Senckenberganlage Höhe Dantestraße sowie an der Friedrich-Ebert-Anlage/Ludwig-Erhard-Anlage wird es Bereiche geben, von denen man die Sprengung sicher beobachten kann. Wir empfehlen, mit öffentlichen Verkehrsmitteln zum Hauptbahnhof zu fahren und von dort über die Düsseldorfer Straße zur Friederich-Ebert-Anlage zu laufen. Die Polizei wird zu diesem Anlass auch twittern:  @polizei_ffm Bitte beachten Sie die beigefügte Karte zu den Sperrzonen. (Pressestelle Polizeipräsidium Frankfurt, Tel. 069-755 82110)  ";2014-01-30 12:26:00;:  hinweise der polizei zur sprengung des afe turms am . februar;"https://www.presseportal.de/blaulicht/pm/4970/2652368
";False;2014;bockenheim;;bockenheim;;;;;;   hinweise der polizei zur sprengung des afe turms am   februar;    hinweise der polizei zur sprengung der afe turms am    februar;hinweise sprengung afe turms;Hin Weise     Afe  Turms                       ;hin weise     afe  turms                       ;hin weisen      afe   turms                       ;hin weisen      afe   turms                       ;weisen afe turms;weisen afe turms hinweise sprengung afe turms;frankfurt  ots  die frankfurter polizei begleitet die maßnahmen zur sprengung des afe turms am kommenden sonntag um   uhr in der robert mayer str  in frankfurt bockenheim  von der stadt frankfurt wurden zwei sperrzonen festgelegt  in der sperrzone   mit einem radius von   m um den afe turm ist jeglicher aufenthalt am sonntag ab   uhr untersagt  in der sperrzone   mit einem radius von   bis   m um den afe turm ist der aufenthalt im freien ab   uhr verboten  das verbot schließt auch balkone  dachterrassen und außenanlagen mit ein  die bewohner können im haus  bzw  in der wohnung verbleiben  es sind rückwärtige räume aufzusuchen  die absperr  und räummaßnahmen übernimmt das technische hilfswerk  die frankfurter polizei unterstützt und überwacht diese maßnahmen  die am sonntag ab   uhr beginnen  in der zeit von       uhr wird der öffentliche personennahverkehr in diesem bereich herausgenommen  das betrifft die u   zwischen den haltestellen  festhalle messe  und  bockenheimer warte  die buslinie   und die straßenbahnlinien   und    im gleichen zeitraum ist in dem bereich mit erheblichen behinderungen des kraftfahrzeugverkehrs zu rechnen  wir empfehlen  den bereich großräumig zu umfahren  im bereich der senckenberganlage höhe dantestraße sowie an der friedrich ebert anlage ludwig erhard anlage wird es bereiche geben  von denen man die sprengung sicher beobachten kann  wir empfehlen  mit öffentlichen verkehrsmitteln zum hauptbahnhof zu fahren und von dort über die düsseldorfer straße zur friederich ebert anlage zu laufen  die polizei wird zu diesem anlass auch twittern    polizei ffm bitte beachten sie die beigefügte karte zu den sperrzonen   pressestelle polizeipräsidium frankfurt  tel       ;frankfurt   ots   der frankfurter polizei begleiten der maßnahmen zur sprengung der afe turms am kommend sonntag um    uhr in der robert mayer str   in frankfurt bockenheim   von der stadt frankfurt werden zwei sperrzonen festlegen   in der sperrzone    mit einer radius von    m um der afe turm sein jeglich aufenthalt am sonntag ab    uhr untersagen   in der sperrzone    mit einer radius von    bis    m um der afe turm sein der aufenthalt im frei ab    uhr verbieten   der verbieten schließen auch balkone   dachterrassen und außenanlagen mit einen   der bewohner können im haus   bzw   in der wohnung verbleiben   ich sein rückwärtige räume aufsuchen   der absperr   und räummaßnahmen übernehmen der technische hilfswerk   der frankfurter polizei unterstützen und überwachen dies maßnahmen   der am sonntag ab    uhr beginnen   in der zeit von        uhr werden der öffentlich personennahverkehr in dies bereich herausgenommen   der betreffen der u    zwischen der haltestellen   festhalle messe   und   bockenheimer warten   der buslinie    und der straßenbahnlinien    und     im gleich zeitraum sein in der bereich mit erheblich behinderungen der kraftfahrzeugverkehrs zu rechnen   ich empfehlen   der bereich großräumig zu umfahren   im bereich der senckenberganlage höhe dantestraße sowie an der friedrich ebert anlage ludwig erhard anlage werden ich bereiche geben   von der man der sprengung sichern beobachten können   ich empfehlen   mit öffentlich verkehrsmitteln zum hauptbahnhof zu fahren und von dort über der düsseldorfer straße zur friederich ebert anlage zu laufen   der polizei werden zu dies anlass auch twittern     polizei ffm bitte beachten ich der beigefügt karte zu der sperrzonen    pressestelle polizeipräsidium frankfurt   tel       ;frankfurt   ots   der frankfurter polizei begleiten der maßnahmen zur sprengung der afe turms am kommend sonntag um    uhr in der robert mayer str   in frankfurt bockenheim   von der stadt frankfurt werden zwei sperrzonen festlegen   in der sperrzone    mit einer radius von    m um der afe turm sein jeglich aufenthalt am sonntag ab    uhr untersagen   in der sperrzone    mit einer radius von    bis    m um der afe turm sein der aufenthalt im frei ab    uhr verbieten   der verbieten schließen auch balkone   dachterrassen und außenanlagen mit einen   der bewohner können im haus   bzw   in der wohnung verbleiben   ich sein rückwärtige räume aufsuchen   der absperr   und räummaßnahmen übernehmen der technische hilfswerk   der frankfurter polizei unterstützen und überwachen dies maßnahmen   der am sonntag ab    uhr beginnen   in der zeit von        uhr werden der öffentlich personennahverkehr in dies bereich herausgenommen   der betreffen der u    zwischen der haltestellen   festhalle messe   und   bockenheimer warten   der buslinie    und der straßenbahnlinien    und     im gleich zeitraum sein in der bereich mit erheblich behinderungen der kraftfahrzeugverkehrs zu rechnen   ich empfehlen   der bereich großräumig zu umfahren   im bereich der senckenberganlage höhe dantestraße sowie an der friedrich ebert anlage ludwig erhard anlage werden ich bereiche geben   von der man der sprengung sichern beobachten können   ich empfehlen   mit öffentlich verkehrsmitteln zum hauptbahnhof zu fahren und von dort über der düsseldorfer straße zur friederich ebert anlage zu laufen   der polizei werden zu dies anlass auch twittern     polizei ffm bitte beachten ich der beigefügt karte zu der sperrzonen    pressestelle polizeipräsidium frankfurt   tel       ;begleiten maßnahmen sprengung afe turms kommend robert mayer str bockenheim sperrzonen festlegen sperrzone radius afe turm jeglich aufenthalt untersagen sperrzone radius afe turm aufenthalt verbieten verbieten schließen balkone dachterrassen außenanlagen bewohner haus wohnung verbleiben rückwärtige räume aufsuchen absperr räummaßnahmen übernehmen technische hilfswerk unterstützen überwachen maßnahmen öffentlich personennahverkehr herausgenommen betreffen haltestellen festhalle messe bockenheimer warten buslinie straßenbahnlinien zeitraum erheblich behinderungen kraftfahrzeugverkehrs rechnen empfehlen großräumig umfahren senckenberganlage höhe dantestraße friedrich ebert anlage ludwig erhard anlage bereiche sprengung sichern beobachten empfehlen öffentlich verkehrsmitteln hauptbahnhof fahren düsseldorfer straße friederich ebert anlage laufen anlass twittern ffm beachten beigefügt karte sperrzonen polizeipräsidium tel
 Am Mittwoch gegen 11.30 Uhr wurden zwei aus Libyen stammende Touristinnen in der Innenstadt Opfer eines Trickdiebstahls durch falsche Polizeibeamte. Die 50-jährige Geschädigte war zusammen mit ihrer 34-jährigen Begleiterin unterwegs, als sie von mehreren Männern im Bereich Kleine Bockenheimer Straße angesprochen wurde. Die Männer, die sich als Polizisten ausgaben, gaben vor, die Taschen beider Frauen nach Drogen durchsuchen zu müssen. Während die unbekannten Täter die Taschen durchsuchten, stahlen sie knapp eineinhalbtausend Euro aus der Geldbörse der 50-Jährigen. Die Täter, die ähnlich wie richtige Polizisten dunkelblau gekleidet gewesen sein sollen, konnten flüchten. Die Polizei ermittelt.  ;2014-01-30 12:06:00;:  trickdiebstahl durch falsche polizeibeamte;"https://www.presseportal.de/blaulicht/pm/4970/2652325
";False;2014;innenstadt;;innenstadt;;;;;;   trickdiebstahl durch falsche polizeibeamte;    trickdiebstahl durch falsch polizeibeamte;trickdiebstahl falsch;Trick Diebstahl                              ;trick diebstahl                              ;trick diebstahl                              ;trick diebstahl                              ;trick diebstahl;trick diebstahl trickdiebstahl falsch; am mittwoch gegen   uhr wurden zwei aus libyen stammende touristinnen in der innenstadt opfer eines trickdiebstahls durch falsche polizeibeamte  die  jährige geschädigte war zusammen mit ihrer  jährigen begleiterin unterwegs  als sie von mehreren männern im bereich kleine bockenheimer straße angesprochen wurde  die männer  die sich als polizisten ausgaben  gaben vor  die taschen beider frauen nach drogen durchsuchen zu müssen  während die unbekannten täter die taschen durchsuchten  stahlen sie knapp eineinhalbtausend euro aus der geldbörse der  jährigen  die täter  die ähnlich wie richtige polizisten dunkelblau gekleidet gewesen sein sollen  konnten flüchten  die polizei ermittelt   ;  am mittwoch gegen    uhr werden zwei aus libyen stammend touristinnen in der innenstadt opfer ein trickdiebstahls durch falsch polizeibeamte   der   jährige geschädigt sein zusammen mit sich   jährig begleiterin unterwegs   als ich von mehrer männern im bereich kleine bockenheimer straße ansprechen werden   der männer   der sich als polizisten ausgaben   gaben vor   der taschen beid frauen nach drogen durchsuchen zu müssen   während der unbekannt täter der taschen durchsuchen   stehlen ich knapp eineinhalbtausend euro aus der geldbörse der   jährig   der täter   der ähnlich wie richtige polizisten dunkelblau kleiden sein mein sollen   können flüchten   der polizei ermitteln   ;  am mittwoch gegen    uhr werden zwei aus libyen stammend touristinnen in der innenstadt opfer ein trickdiebstahls durch falsch polizeibeamte   der   jährige geschädigt sein zusammen mit sich   jährig begleiterin unterwegs   als ich von mehrer männern im bereich kleine bockenheimer straße ansprechen werden   der männer   der sich als polizisten ausgaben   gaben vor   der taschen beid frauen nach drogen durchsuchen zu müssen   während der unbekannt täter der taschen durchsuchen   stehlen ich knapp eineinhalbtausend euro aus der geldbörse der   jährig   der täter   der ähnlich wie richtige polizisten dunkelblau kleiden sein mein sollen   können flüchten   der polizei ermitteln   ;libyen stammend touristinnen innenstadt opfer trickdiebstahls falsch geschädigt begleiterin unterwegs männern kleine bockenheimer straße ansprechen männer polizisten ausgaben gaben taschen frauen drogen durchsuchen unbekannt täter taschen durchsuchen stehlen knapp eineinhalbtausend euro geldbörse täter richtige polizisten dunkelblau kleiden flüchten
 Auch in der kommenden Woche werden im Frankfurter Stadtgebiet Geschwindigkeitsmessungen durchgeführt. Die Messgeräte stehen im Bereich folgender Örtlichkeiten: 03. Februar 2014 Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5, BAB A66 Fahrtrichtung Autobahnkreuz Nordwest, Bundesstraße 43 Anschlussstelle BAB A3, Gerbermühlstraße, Züricher Straße 04. Februar 2014  Bundesstraße 43 Anschlussstelle BAB A3, Babenhäuser Landstraße, Mainzer Landstraße, Hanauer Landstraße, Autobahnkreuz Frankfurt BAB A3/A5, Züricher Straße 05. Februar 2014 BAB A661 Fahrtrichtung Autobahnkreuz Offenbach, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5,  Gerbermühlstraße, Mainzer Landstraße, Bundesstraße 43 Anschlussstelle BAB A3 06. Februar 2014 Autobahnkreuz Frankfurt BAB A3/A5, Babenhäuser Landstraße, Hanauer Landstraße, Mainzer Landstraße, BAB A66 Fahrtrichtung Autobahnkreuz Nordwest, BAB A661 Fahrtrichtung Autobahnkreuz Offenbach 07. Februar 2014 Mainzer Landstraße, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5, Babenhäuser Landstraße, Bundesstraße 43 Anschlussstelle BAB A3, BAB A661 Fahrtrichtung Autobahnkreuz Offenbach  ;2014-01-30 12:05:00;:  geschwindigkeitsmessungen;"https://www.presseportal.de/blaulicht/pm/4970/2652321
";False;2014;stadtgebiet;;stadtgebiet;;;;;;   geschwindigkeitsmessungen;    geschwindigkeitsmessungen;geschwindigkeitsmessungen;Geschwindigkeits Messungen                            ;geschwindigkeits messungen                            ;geschwindigkeits messungen                            ;geschwindigkeits messungen                            ;geschwindigkeits messungen;geschwindigkeits messungen geschwindigkeitsmessungen; auch in der kommenden woche werden im frankfurter stadtgebiet geschwindigkeitsmessungen durchgeführt  die messgeräte stehen im bereich folgender örtlichkeiten    februar   hugo eckener ring  autobahnkreuz frankfurt bab a a  bab a  fahrtrichtung autobahnkreuz nordwest  bundesstraße   anschlussstelle bab a  gerbermühlstraße  züricher straße   februar    bundesstraße   anschlussstelle bab a  babenhäuser landstraße  mainzer landstraße  hanauer landstraße  autobahnkreuz frankfurt bab a a  züricher straße   februar   bab a  fahrtrichtung autobahnkreuz offenbach  hugo eckener ring  autobahnkreuz frankfurt bab a a   gerbermühlstraße  mainzer landstraße  bundesstraße   anschlussstelle bab a    februar   autobahnkreuz frankfurt bab a a  babenhäuser landstraße  hanauer landstraße  mainzer landstraße  bab a  fahrtrichtung autobahnkreuz nordwest  bab a  fahrtrichtung autobahnkreuz offenbach   februar   mainzer landstraße  hugo eckener ring  autobahnkreuz frankfurt bab a a  babenhäuser landstraße  bundesstraße   anschlussstelle bab a  bab a  fahrtrichtung autobahnkreuz offenbach  ;  auch in der kommend woche werden im frankfurter stadtgebiet geschwindigkeitsmessungen durchführen   der messgeräte stehen im bereich folgend örtlichkeiten     februar    hugo eckener ring   autobahnkreuz frankfurt bab a a   bab a   fahrtrichtung autobahnkreuz nordwest   bundesstraße    anschlussstelle bab a   gerbermühlstraße   züricher straße    februar     bundesstraße    anschlussstelle bab a   babenhäuser landstraße   mainzer landstraße   hanauer landstraße   autobahnkreuz frankfurt bab a a   züricher straße    februar    bab a   fahrtrichtung autobahnkreuz offenbach   hugo eckener ring   autobahnkreuz frankfurt bab a a    gerbermühlstraße   mainzer landstraße   bundesstraße    anschlussstelle bab a     februar    autobahnkreuz frankfurt bab a a   babenhäuser landstraße   hanauer landstraße   mainzer landstraße   bab a   fahrtrichtung autobahnkreuz nordwest   bab a   fahrtrichtung autobahnkreuz offenbach    februar    mainzer landstraße   hugo eckener ring   autobahnkreuz frankfurt bab a a   babenhäuser landstraße   bundesstraße    anschlussstelle bab a   bab a   fahrtrichtung autobahnkreuz offenbach  ;  auch in der kommend woche werden im frankfurter stadtgebiet geschwindigkeitsmessungen durchführen   der messgeräte stehen im bereich folgend örtlichkeiten     februar    hugo eckener ring   autobahnkreuz frankfurt bab a a   bab a   fahrtrichtung autobahnkreuz nordwest   bundesstraße    anschlussstelle bab a   gerbermühlstraße   züricher straße    februar     bundesstraße    anschlussstelle bab a   babenhäuser landstraße   mainzer landstraße   hanauer landstraße   autobahnkreuz frankfurt bab a a   züricher straße    februar    bab a   fahrtrichtung autobahnkreuz offenbach   hugo eckener ring   autobahnkreuz frankfurt bab a a    gerbermühlstraße   mainzer landstraße   bundesstraße    anschlussstelle bab a     februar    autobahnkreuz frankfurt bab a a   babenhäuser landstraße   hanauer landstraße   mainzer landstraße   bab a   fahrtrichtung autobahnkreuz nordwest   bab a   fahrtrichtung autobahnkreuz offenbach    februar    mainzer landstraße   hugo eckener ring   autobahnkreuz frankfurt bab a a   babenhäuser landstraße   bundesstraße    anschlussstelle bab a   bab a   fahrtrichtung autobahnkreuz offenbach  ;kommend geschwindigkeitsmessungen durchführen messgeräte stehen örtlichkeiten hugo eckener ring autobahnkreuz fahrtrichtung autobahnkreuz bundesstraße anschlussstelle gerbermühlstraße züricher straße bundesstraße anschlussstelle babenhäuser autobahnkreuz züricher straße fahrtrichtung autobahnkreuz hugo eckener ring autobahnkreuz gerbermühlstraße bundesstraße anschlussstelle autobahnkreuz babenhäuser fahrtrichtung autobahnkreuz fahrtrichtung autobahnkreuz hugo eckener ring autobahnkreuz babenhäuser bundesstraße anschlussstelle fahrtrichtung autobahnkreuz
 Im Zeitraum vom 23. Januar 2014 bis zum 24. Januar 2014 trieben bislang unbekannte Täter ihr Unwesen in einer Kleingartenanlage an der Gartenstraße (Rosistenanlage). Nach den bisherigen Erkenntnissen brachen der oder die Täter insgesamt 25 Gartenhütten auf und beschädigten diese hierbei teils erheblich. Ob und was gegebenenfalls entwendet wurde, bedarf noch weiterer Ermittlungen. Die Beamten der Reviere 8 und 9 rechnen mit weiteren Geschädigten, die sich noch melden könnten. Die Ermittlungen wurden aufgenommen.  ;2014-01-29 11:00:00;:  mehrere gartenhütten aufgebrochen;"https://www.presseportal.de/blaulicht/pm/4970/2651144
";False;2014;sachsenhausen;;sachsenhausen;;;;;;   mehrere gartenhütten aufgebrochen;    mehrer gartenhütten aufbrechen;gartenhütten aufbrechen;Garten Hütten Auf Brechen                          ;garten hütten auf brechen                          ;garen hütten auf brechen                          ;garen hütten auf brechen                          ;garen hütten brechen;garen hütten brechen gartenhütten aufbrechen; im zeitraum vom   januar   bis zum   januar   trieben bislang unbekannte täter ihr unwesen in einer kleingartenanlage an der gartenstraße  rosistenanlage  nach den bisherigen erkenntnissen brachen der oder die täter insgesamt   gartenhütten auf und beschädigten diese hierbei teils erheblich  ob und was gegebenenfalls entwendet wurde  bedarf noch weiterer ermittlungen  die beamten der reviere   und   rechnen mit weiteren geschädigten  die sich noch melden könnten  die ermittlungen wurden aufgenommen   ;  im zeitraum vom    januar    bis zum    januar    trieben bislang unbekannt täter mein unwesen in einer kleingartenanlage an der gartenstraße   rosistenanlage   nach der bisherig erkenntnissen brach der oder der täter insgesamt    gartenhütten auf und beschädigen dies hierbei teils erheblich   ob und was gegebenenfalls entwenden werden   bedarf noch weit ermittlungen   der beamten der reviere    und    rechnen mit weit geschädigt   der sich noch melden können   der ermittlungen werden aufnehmen   ;  im zeitraum vom    januar    bis zum    januar    trieben bislang unbekannt täter mein unwesen in einer kleingartenanlage an der gartenstraße   rosistenanlage   nach der bisherig erkenntnissen brach der oder der täter insgesamt    gartenhütten auf und beschädigen dies hierbei teils erheblich   ob und was gegebenenfalls entwenden werden   bedarf noch weit ermittlungen   der beamten der reviere    und    rechnen mit weit geschädigt   der sich noch melden können   der ermittlungen werden aufnehmen   ;zeitraum trieben unbekannt täter unwesen kleingartenanlage gartenstraße rosistenanlage erkenntnissen brach täter gartenhütten beschädigen teils erheblich gegebenenfalls entwenden ermittlungen beamten reviere rechnen geschädigt melden ermittlungen aufnehmen
