Hauptartikel;Timestamp;Ueberschrift;Link;Old;Year
 Bei einem Brand in einem Reihenhaus in der  Ludwig-Ruppel-Straße wurden am Samstag, den 31. Januar 2009, gegen  00.50 Uhr, fünf Personen verletzt.    Durch das Feuer, das offensichtlich vom Keller seinen Ausgang  nahm, entstand ein Sachschaden in Höhe von etwa 120.000 EUR. Das  gesamte Haus ist unbewohnbar. Auch die beiden Nachbarhäuser wurden durch den Brand und die  Löscharbeiten in Mitleidenschaft gezogen.    Der 62-jährige Vater, sein 24-jähriger Sohn sowie die 27-jährige  Tochter kamen mit dem Verdacht auf Rauchgasvergiftung in verschiedene Krankenhäuser, wo sie stationär aufgenommen wurden. Die 60-jährige  Mutter erlitt Brandverletzungen und wurde ebenfalls zur stationären  Versorgung in ein Krankenhaus verbracht.    Auch ein 21-jähriger Feuerwehrmann musste sich im Krankenhaus  einer Untersuchung wegen des Verdachtes einer Rauchgasvergiftung  unterziehen. Die Brandursachenermittlung wurde aufgenommen. (Manfred Füllhardt, 069-75582116)    ;2009-01-31 14:05:00;POL-F: 090131 - 0123 Frankfurt-Bonames: Brand in Einfamilienreihenhaus;"https://www.presseportal.de/blaulicht/pm/4970/1344829
";False;2009
" Am Freitag, den 30. Januar 2009 erschien ein  51-Jähriger aus der Nähe von München beim 1. Polizeirevier und gab  an, beraubt worden zu sein. Gemäß seinen Angaben befand er sich am gleichen Tage gegen 21.00 Uhr  in der Elisabethenstraße, wo sich plötzlich zwei junge Frauen vor ihm aufbauten und ihn fragten, ob er mit ihnen boxen wolle.    Obwohl er dies verneinte, schlugen und traten die beiden auf ihn  ein. Als er sich dagegen zur Wehr setzte, erschien plötzlich ein Mann und fing an zu schlichten, indem er sich zwischen die Parteien  stellte. Die beiden Mädchen flüchteten und auch der ""Schlichter"" verließ den  Tatort. Später stellte der 51-Jährige dann fest, dass 10 EUR Bargeld  sowie sein Handy fehlten. Beides trug  er in seiner Jackentasche.    Täterbeschreibung:    Beide Täterinnen waren etwa 18 Jahre alt und ca. 165 cm groß.  Bekleidet mit Jeans, engem Oberteil, dunklen Jacken und flachen  Schuhen. Eine der beiden trug ein Tattoo auf dem Steiß. Bei beiden  soll es sich um Türkinnen gehandelt haben. (Manfred Füllhardt, 069-75582116)    ";2009-01-31 14:04:00;POL-F: 090131 - 0122 Frankfurt-Sachsenhausen: Raubstraftat;"https://www.presseportal.de/blaulicht/pm/4970/1344828
";False;2009
 Heute gegen 11.30 Uhr kam es auf dem  Rodungsgelände im Kelsterbacher Wald zur Festnahme von zwei  26-jährigen Frauen. Die beiden Frauen, eine aus Nürnberg, die andere aus Heidelberg,  hatten sich am Morgen auf das Rodungsgelände begeben, wo sie gegen  08.00 Uhr in 7-8 Metern Höhe, in zwei Bäumen sitzend, festgestellt  wurden. Gegen 11.30 Uhr wurden die beiden mittels eines Teleskopwagens der  Feuerwehr wieder zu Boden gebracht und festgenommen. Zwei junge Männer, die sich ebenfalls unberechtigt auf dem Gelände  aufgehalten hatten, wurden auch in Gewahrsam genommen. Gegen die  genannten Personen werden Anzeigen wegen Hausfriedensbruch vorgelegt. (Manfred Füllhardt, 069-75582116)    ;2009-01-31 13:42:00;POL-F: 090131 - 0121 Frankfurt-Flughafen: Festnahmen auf dem Rodungsgelände;"https://www.presseportal.de/blaulicht/pm/4970/1344826
";False;2009
 Am Freitag, den 30. Januar 2009, gegen 10.30  Uhr, kam es in einem Kleingartengelände an der Dortelweiler Straße  zum Brand einer Gartenhütte.    Dies geschah, nachdem der 81-jährige Eigentümer sich mittels eines Campinggaskochers Wasser erhitzen wollte. Dabei hatte er kurz die  Hütte verlassen und musste bei seiner Rückkehr feststellen, dass sich ein Feuer entwickelt hatte. Mittel verschiedener Bekleidungsstücke  versuchte der 81-Jährige noch die Flammen zu ersticken, leider  erfolglos. Sein Nachbar verständigte unterdessen die Feuerwehr.    Dieser gelang es, das Feuer vollständig zu löschen, bevor die  Hütte ganz niederbrannte. Der Sachschaden beziffert sich auf etwa  7.000 EUR. Der Geschädigte musste anschließend mit Verdacht auf eine  Rauchgasvergiftung in ein Krankenhaus verbracht werden, wo er  stationär aufgenommen wurde. (Manfred Füllhardt, 069-75582116)    ;2009-01-30 15:16:00;POL-F: 090130 - 0120 Frankfurt-Bornheim: Brand einer Gartenhütte;"https://www.presseportal.de/blaulicht/pm/4970/1344602
";False;2009
 Vermutlich aus Unachtsamkeit ist eine 46 jährige Frau aus Dietzenbach heute Morgen gegen 07.45 Uhr auf einen  Streifenwagen der Polizeiautobahnstation Frankfurt aufgefahren.    Die Frau fuhr hinter dem Streifenwagen auf der Bundesstraße 46 in  Richtung Sprendlinger Kreisel. Verkehrsbedingt musste der  Streifenwagen stoppen, was die Frau nicht rechtzeitig bemerkte und  dem Dienstwagen in das Fahrzeugheck fuhr.    Die beiden Polizeibeamten wurden hierdurch leicht verletzt, die  Frau aus Dietzenbach blieb unverletzt. An beiden Pkw entstand  Sachschaden in Höhe von ca. 8000 Euro.    (Alexander Löhr, Telefon 069 - 755 82117) ;2009-01-30 13:45:00;POL-F: 090130 - 0119 Sprendlinger Kreisel: Unfall mit Streifenwagen;"https://www.presseportal.de/blaulicht/pm/4970/1344495
";False;2009
" Buntmetall im Wert von etwa 10.000 Euro haben  bislang unbekannte Diebe von einer Baustelle an der Messehalle 11  entwendet. Der oder die Täter sind vermutlich mit einem Lkw in der  Nacht auf den vergangenen Dienstag auf das Baustellengelände gefahren und haben dort von einer Kabeltrommel ungefähr 143 Meter hochwertiges Kabel mit einem Gesamtgewicht von 1,5 Tonnen abgerollt, vor Ort in  ""handliche Stücke"" zersägt und mitgenommen.    Die Ermittlungen dauern an.    (Manfred Vonhausen, Telefon 069 - 755 82113)    ";2009-01-30 13:13:00;POL-F: 090130 - 0118 Messegelände: Buntmetalldiebe unterwegs;"https://www.presseportal.de/blaulicht/pm/4970/1344455
";False;2009
 Mit mehreren Schüssen aus der Dienstwaffe  mussten heute Morgen, gegen 00.20 Uhr, Beamte des 10. Reviers ein  schwer verletztes Wildschwein töten.    Das vermutlich durch einen Unfall verletzte Tier wurde von einem  Zeugen auf der Schwanheimer Bahnstraße gesichtet und anschließend der Polizei gemeldet.    Hinweise auf das Unfallfahrzeug liegen derzeit nicht vor.    (Manfred Vonhausen, Telefon 069 - 755 82113) ;2009-01-30 13:11:00;POL-F: 090130 - 0117 Schwanheim: Polizei erlöst schwer verletztes Wildschwein von seinen Leiden;"https://www.presseportal.de/blaulicht/pm/4970/1344452
";False;2009
 In den frühen Morgenstunden des gestrigen  Donnerstages wurde ein 28 jähriger wohnsitzloser Deutscher leblos von einem Bekannten aufgefunden.    Beide hatten zusammen in einer Wohnung in der Straße Hinter der  schönen Aussicht Drogen und Alkohol konsumiert und waren dabei  eingeschlafen. Gegen 03:30 Uhr wurde das Opfer durch den Bekannten  aufgefunden, ein verständigter Notarzt konnte nur noch den Tod  feststellen.    Im Vergleichszeitraum des Jahres 2008 wurde ein Drogenopfer  verzeichnet.    (Alexander Löhr, Telefon 069 - 755 82117) ;2009-01-30 13:10:00;POL-F: 090130 - 0116 Innenstadt: Viertes Drogenopfer im Jahr 2009;"https://www.presseportal.de/blaulicht/pm/4970/1344449
";False;2009
" Eine 31-jährige Frankfurterin fuhr am  Donnerstag, den 29. Januar 2008, gegen 21.50 Uhr, mit der Straßenbahn von der Haltestelle ""Mühlberg"" zur Haltestelle ""Wiener Straße"".    Dort stieg die 31-Jährige aus und bemerkte, wie ihr zwei junge  Männer folgten, die sich ebenfalls in der Straßenbahn befunden  hatten.    In der Wiener Straße, in Höhe der Hausnummer 125, griff  einer der beiden Verfolger nach ihrer Handtasche. Die Geschädigte zog jedoch so stark zurück, dass der Täter zu Boden stürzte und bäuchlings auf dem  Gehweg zum Liegen kam.    Diesen Moment nutzte die Frankfurterin zur Flucht. Die beiden  Unbekannten entfernten sich in entgegengesetzter Richtung. Die  Geschädigte blieb unverletzt.    Täterbeschreibung:    1. Täter: Etwa 20 Jahre alt und ca. 175 cm groß. Schlank mit  blonden Haaren. Trug einen dunklen Trainingsanzug mit weißen Streifen an der Trainingsjacke. 2. Täter: Etwa 20 Jahre alt und ca. 175 cm groß. Schlank mit blonden  Haaren. Trug ein graues Sweatshirt mit Kapuze.    (Manfred Füllhardt, 069-75582116) ";2009-01-30 13:08:00;POL-F: 090130 - 0115 Oberrad: Versuchter Handtaschenraub;"https://www.presseportal.de/blaulicht/pm/4970/1344445
";False;2009
 Am Donnerstag, den 29. Januar 2009, gegen 18.45  Uhr, ging ein 24-jähriger Frankfurter durch den Julius-Leber-Weg. In  der Hand führte er einen Koffer mit sich, da er bei einem Bekannten  übernachten wollte.    Plötzlich wurde er von zwei Männern angesprochen, die ihn nach  Zigaretten fragten. Als er das Anliegen verneinte, raubten sie ihm  den Koffer und flüchteten damit in Richtung des  Cäcilia-Lauth-Spielparks.    In dem schwarzen Koffer befand sich Bekleidung sowie eine  Digitalkamera der Marke JVC.    Täterbeschreibung:    1. Täter: Etwa 185 cm groß und von kräftiger Gestalt. Insgesamt  dunkel gekleidet. 2. Täter: Etwa 175 cm groß, mit schwarzen Haaren und von kräftiger  Gestalt. Bekleidet mit dunkelblauen Jeans und einer grauen Jacke. (Manfred Füllhardt, 069-75582116) ;2009-01-30 13:07:00;POL-F: 090130 - 0114 Sossenheim: Straßenraub;"https://www.presseportal.de/blaulicht/pm/4970/1344443
";False;2009
" Heute gegen 17.05 Uhr betrat eine bislang  unbekannte Frau die Filiale einer Bank in der Gartenstraße. Die dort befindlichen Angestellten bedrohte sie mit einer Schusswaffe und forderte die Herausgabe des Bargeldes. Da dies wegen der  vorhandenen Zeitschlösser nicht möglich war, verließ die Frau mit  einem lauten ""Sch...."" ohne Beute die Bank    Die Unbekannte wird beschrieben als ca. 50 Jahre alt und etwa 165  cm groß. Sie ist schlank und hat ein fahles Gesicht. Bekleidet mit  einem grauen Popelinmantel mit aufgesetzten Taschen und Kapuze.  Brille mit dunklen Gläsern und pinkfarbenem Gestell. Führte zwei  Plastiktüten und eine Schusswaffe mit sich. Hatte während der Tatzeit die Kapuze ins Gesicht gezogen. (Manfred Füllhardt, 069-75582116)    ";2009-01-29 20:18:00;POL-F: 090129 - 0113 Frankfurt-Sachsenhausen: Versuchter Bankraub;"https://www.presseportal.de/blaulicht/pm/4970/1343972
";False;2009
 Bisher unbekannte Einbrecher haben heute in den  frühen Morgenstunden Mobiltelefone im Wert von etwa 120.000 EUR  gestohlen.    Gegen 03.00 Uhr ging beim Polizeinotruf der Einbruchsalarmmelder  des Fachgeschäftes in der Goethestraße ein. Durch die sofort  entsandten Funkstreifen wurden mehrere aufgebrochene Türen und  Vitrinen festgestellt. Aus dem Geschäft wurden neben den  Mobiltelefonen noch einige hundert EUR Bargeld entwendet.  Augenscheinlich waren die Einbrecher über eine Hintertür gewaltsam  eingedrungen. Bei der Durchsuchung des Geschäftes konnten keine  Einbrecher mehr angetroffen werden. Sie hatten offenbar fluchtartig  das Objekt verlassen.    Die Kriminalpolizei hat die Ermittlungen aufgenommen. (André Sturmeit, 069-75582112)    ;2009-01-29 13:25:00;POL-F: 090129 - 0112 Frankfurt-Innenstadt:  Einbrecher erbeuten Mobiltelefone im Wert von rund 120.000 EUR;"https://www.presseportal.de/blaulicht/pm/4970/1343651
";False;2009
 Mit schweren Verletzungen musste gestern Abend,  gegen 19.00 Uhr, ein 33-jähriger Mann aus Kalbach in eine Frankfurter Klinik verbracht werden. Er war kurz vorher zu Fuß in Richtung Ben-Gurion-Ring unterwegs und  gerade im Begriff, den Fußgängerüberweg Heinrich-Lanz-Allee/Am  Martinszehnten zu überschreiten. Hierbei wurde er von einem  40-jährigen Fahrzeuglenker, der in Richtung Auffahrt A 661 fuhr,  erfasst und auf die Fahrbahn geschleudert.    Am Fahrzeug (VW Passat) entstand leichter Schaden, der Fahrer  erlitt einen Schock.    Nach Auskunft der behandelnden Ärzte ist der Zustand des  33-Jährigen ernst aber stabil.    Zeugen des Unfalls werden gebeten, sich mit dem 15. Polizeirevier  unter der Nummer 069/75511500 in Verbindung zu setzen. (Manfred Vonhausen, 069-75582113)    ;2009-01-29 10:46:00;POL-F: 090129 - 0111 Frankfurt-Kalbach: Fußgänger bei Verkehrsunfall schwer verletzt;"https://www.presseportal.de/blaulicht/pm/4970/1343405
";False;2009
 Der Versuch, heute Morgen, gegen 06.20 Uhr,  einen Kiosk zu überfallen ist an der Gegenwehr des Inhabers  gescheitert. Als ein bisher Unbekannter am Verkaufsfenster an der  Nesselbuschstraße Ecke in der Römerstadt erschien und mit einer  Schusswaffe nach Zigaretten verlangte, zog der Inhaber seinerseits  eine Schreckschusswaffe und jagte den Räuber ohne Beute davon.    Der verhinderte Räuber wird als etwa 20 bis 30 Jahre alt und 1,75  - 1,80 m groß beschrieben. Er soll dunkelblonde Haare haben und trug  eine graue Jacke.    (André Sturmeit, Telefon 069 - 755 82112) ;2009-01-28 11:47:00;POL-F: 090128 - 0110 Heddernheim: Überfall auf Kiosk gescheitert;"https://www.presseportal.de/blaulicht/pm/4970/1342848
";False;2009
 Am Dienstag, den 27. Januar 2009, gegen 17.30  Uhr, beobachteten Polizeibeamte im Rebstöcker Weg ein  offensichtliches Drogengeschäft. Der Käufer, ein 37-jähriger  Frankfurter, wurde anschließend vorläufig festgenommen. Wie sich  herausstellte, hatte er ein Gramm Heroin erworben.    Der mutmaßliche Verkäufer, ein 27-jähriger Bulgare, konnte erst  nach seiner Flucht durch den gesamten Biegwald festgenommen werden.  Bei ihm fanden sich 130 Gramm Heroin, ein Handy sowie 165 EUR  Bargeld. Die Ermittlungen in der Sache dauern an.    (Manfred Füllhardt, 069-75582116) ;2009-01-28 11:47:00;POL-F: 090128 - 0109 Frankfurt-Rödelheim: Festnahmen auf der Drogenszene;"https://www.presseportal.de/blaulicht/pm/4970/1342845
";False;2009
 Am Dienstag, den 27. Januar 2009, gegen 19.00  Uhr, wurde die Frankfurter Polizei über eine durch einen Messerstich  verletzte Person informiert. Bei dem Geschädigten handelt es sich um einen 36-jährigen, aus  Eritrea stammenden Frankfurter. Zusammen mit dem Tatverdächtigen  arbeitete er als Reinigungskraft in einem fleischverarbeitenden  Betrieb in Fechenheim. Beim Eintreffen der Beamten wurde der 36-Jährige bereits durch die  Rettungskräfte versorgt. Er wies einen Stich in die Brust auf,  Lebensgefahr bestand nicht. Der Tatverdächtige, ein ebenfalls in Frankfurt wohnhafter 38-jähriger Eritreer, stellte sich kurz darauf der noch auf dem Betriebsgelände  befindlichen Polizei. Bislang können keine Angaben zum Hintergrund  der Auseinandersetzung gemacht werden. Die Ermittlungen in der Sache  dauern an.    (Manfred Füllhardt, 069-75582116) ;2009-01-28 11:46:00;POL-F: 090128 - 0108 Frankfurt-Fechenheim: Durch Messerstich verletzt;"https://www.presseportal.de/blaulicht/pm/4970/1342844
";False;2009
