Hauptartikel;Timestamp;Ueberschrift;Link;Old;Year
 Um 23.00 Uhr kam es im Kreuzungsbereich Taunusanlage und Mainzer Landstraße zu einem Verkehrsunfall, bei dem der Pkw einer 25 Jahre alten Frau vermutlich auf Grund nicht angepasster Geschwindigkeit über die bauliche Begrenzung der Fahrbahn hinweg in den Gegenverkehr geriet und dort frontal mit einem Einsatzfahrzeug der Polizei zusammenstieß. Glücklicherweise war der mit zwei Polizeiangehörigen besetzte Streifenwagen gerade im Begriff, an der dortigen Ampel anzuhalten, als der BMW der Unfallverursacherin außer Kontrolle geriet. Bei Zusammenstoß wurden die beiden Polizisten nur leicht verletzt, die Fahrzeugführerin des BMW erlitt keine Verletzungen. Der entstandene Sachschaden beläuft sich auf 6.500 Euro.  ;2015-01-28 13:00:00;POL-F: 150128 - 74 Frankfurt-Bahnhofsgebiet: Kollision mit Streifenwagen endet glimpflich;"https://www.presseportal.de/blaulicht/pm/4970/2936868
";False;2015
" Eine 75 Jahre alte Frau wurde gestern um 18.50 Uhr Opfer zweier ""hilfsbereiter"" Männer, die ihr beim Transport ihrer schweren Einkaufstasche bis in die Wohnung in der Steuernagelstraße halfen und dort eine Handtasche stahlen. Bereits beim Aussteigen aus einem Linienbus waren die Täter behilflich (die selbst aber nicht mit dem Bus fuhren) und folgten der Seniorin bis zu ihrer Wohnung. Dort angekommen halfen sie beim Herauftragen der Einkaufstasche. Zum Aufschließen der Wohnungstür stelle die alte Dame ihre Handtasche auf einen Schrank im Treppenhaus. Die Täter griffen zu und flüchteten. Glücklicherweise befand sich in der Tasche kein Bargeld.  ";2015-01-28 13:00:00;POL-F: 150128 - 73 Frankfurt-Bahnhofsviertel: Trickdiebstahl;"https://www.presseportal.de/blaulicht/pm/4970/2936867
";False;2015
 Um 13.36 Uhr kam es auf der BAB 5 in Höhe der Anschlussstelle Niederrad Nord in Fahrtrichtung Süden zu einem folgenschweren Unfall zwischen zwei Pkw. Nach derzeitigem Ermittlungsstand war ein Audi mit sehr hoher Geschwindigkeit auf einen VW Golf aufgefahren, so dass dieser ins Schleudern geriet, letztlich auf dem rechten Fahrstreifen zum Stehen kam und dessen Fahrer in seinem Pkw eingeklemmt wurde. Der Fahrer des Pkw Audi soll zuvor aus bisher nicht bekannter Ursache vom linken der vier Fahrstreifen nahezu ungebremst auf den ganz rechten Fahrstreifen gezogen zu sein. Er blieb bei dem Unfall unverletzt. Der schwerverletzte Fahrer wurde in ein Krankenhaus Frankfurt. Zu seiner Person sind derzeit keine weiteren Angaben möglich. Die Rettungskräfte der Feuerwehr  mussten den Fahrer zunächst aus seinem Fahrzeug befreien, bevor dieser noch im Bereich der Unfallstelle vom Notarzt und Rettungsdienst erstversorgt werden konnte. Für die Landung des ebenfalls eingesetzten Rettungshubschraubers musste die BAB 5 in Fahrtrichtung Süden gegen 14.00 Uhr für 20 min voll gesperrt werden. Während der Hilfsmaßnahmen, der Unfallaufnahme und der Räumung der Unfallstelle bildete sich auf der BAB 5 zeitweilig ein Rückstau über das Autobahnkreuz West hinaus. Gegen 16.05 Uhr musste die Fahrbahn in Richtung Süden erneut für ca. 10 min zur Fertigung von Übersichtsaufnahmen aus der Luft durch den Polizeihubschrauber voll gesperrt werden. Seit 16.17 Uhr sind alle Fahrspuren wieder für den Verkehr freigegeben. Zeugen des Unfalls werden gebeten, sich mit der Autobahnpolizei Frankfurt in Verbindung zu setzen (Tel. 069 / 755-46400). Aktuelle Informationen finden Sie bei Twitter unter @polizeifffm_info.  ;2015-01-27 16:39:00;POL-F: 150127 - 72 Bundesautobahn 5: Auffahrunfall mit schwerverletzter Person;"https://www.presseportal.de/blaulicht/pm/4970/2936200
";False;2015
 Wie den Medien bereits am 25. Januar 2015 mitgeteilt, wurde am Samstag, den 24. Januar 2015, gegen 14.30 Uhr, ein junger Mann am Treppenabgang des Eisernen Steges festgenommen, nachdem Zivilbeamte ihn zuvor dabei beobachtet hatten, wie er die Geldbörse eines chinesischen Touristen aus dessen Rucksack entwendete, bzw. bereits zuvor auf dem Weg von der U-Bahnstation Römer zum Eisernen Steg nach Tatgelegenheiten Ausschau hielt. Der junge Mann gab sich als 13-jähriger Rumäne aus, seine Personalien standen jedoch nicht zweifelsfrei fest. Nach dem Ergebnis eines vorläufigen Altersgutachtens durch das Institut für Rechtsmedizin ergab sich jedoch, dass das Alter des Jungen vorbehaltlich weiterer Untersuchungen mindestens 14 Jahre betragen müsse. Hierauf erfolgte die Vorführung des jungen Mannes über die Staatsanwaltschaft Frankfurt beim Amtsgericht Frankfurt am Main. Der Haftrichter erließ gegen den Beschuldigten einen Untersuchungshaftbefehl. Im Ergebnis der bislang durchgeführten Ermittlungen wird er verdächtigt, für insgesamt 31 Taschendiebstähle seit Mitte November 2014 verantwortlich zu sein. Die Diebstähle wurden allesamt  am Flughafen bzw. im Bereich der U-Bahnstation Römer und dem Eisernen Steg begangen. Die Ermittlungen in der Sache dauern an.  ;2015-01-27 15:07:00;POL-F: 150127 - 71 Frankfurt: Nachtrag zur Meldung Nummer  150125 - 61: Frankfurt-Innenstadt: Festnahme nach Taschendiebstahl;"https://www.presseportal.de/blaulicht/pm/4970/2936087
";False;2015
 Gemeinsame Presseerklärung der Staatsanwaltschaft Frankfurt am Main und der Polizei Frankfurt am Main Der Räuber, der am 06.01.2015 in der Börsenstraße eine Bankfiliale überfallen und etwa 25.000 Euro erbeutet hatte, konnte am Samstag, 24.01.2015, in Hamburg festgenommen werden. Bei dem Festgenommenen, gegen den das Amtsgericht Frankfurt am Main auf Antrag der Staatsanwaltschaft zwischenzeitlich einen Untersuchungshaftbefehl wegen schwerer räuberischer Erpressung erließ, handelt es sich um einen 45-jährigen türkischstämmigen Mann aus Frankfurt. Ein Zeugenhinweis aus dem Raum Köln und umfangreiche Ermittlungen führten die Fahnder auf seine Spur - seine Flucht führte ihn über Wien, Köln und Berlin schließlich nach Hamburg. Mit Hilfe gezielter Fahndungsmaßnahmen und mit Unterstützung der Hamburger Polizei konnte der Gesuchte dann am Samstag beim Betreten eines Hotels festgenommen werden. Der wegen zahlreicher Eigentums- und Betäubungsmitteldelikte bekannte 45-Jährige befindet sich seitdem in Untersuchungshaft. Die Beute konnte bislang nicht aufgefunden werden. Weitere Presseauskünfte erteilt die Staatsanwaltschaft Frankfurt am Main unter 069/ 1367 8450.  ;2015-01-27 12:05:00;POL-F: 150123 - 70 Innenstadt: Nachtrag zur Meldung 9 - Banküberfall - Hier: gesuchter Bankräuber festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/2935757
";False;2015
" Am Montag, den 26.01.2015, fanden in der Frankfurter Innenstadt mehrere Demonstrationen und Veranstaltungen statt. Das Römerbergbündnis hatte zu einer Versammlung vor dem Frankfurter Römer aufgerufen, der rund 12.000 Menschen folgten. Nahezu zeitgleich hatte eine Anmelderin im Kontext der Pegida-Bewegung zu einem Aufzug, beginnend an der Frankfurter Hauptwache aufgerufen, zu der sich rund 120 Personen einfanden. Diese Veranstaltung wurde von rund 4.500 Gegendemonstranten begleitet, die sich rund um die Katharinenkirche eingefunden hatten. Auf Grund der Situation vor Ort, entschloss sich die Anmelderin der Pegida-Veranstaltung, statt eines Aufzuges eine stationäre Kundgebung durchzuführen. Nach Ende der Veranstaltung am Römerberg wurden die Gegenproteste durch Teile der abwandernden Teilnehmer des Römerbergbündnisses unterstützt. Im Rahmen der Veranstaltung des Römerbergbündnisses war hierzu aufgerufen worden. Während die Veranstaltung des Römerbergbündnisses wie angemeldet und störungsfrei verlief, kam es im Bereich der Katharinenkirche zu Konfrontationen zwischen den Teilnehmern beider Veranstaltungen und den zum Schutz der Versammlungen eingesetzten Polizeibeamten. Durch den Einsatz von Gittern und uniformierten Kräften gelang es, die beiden Lager zu trennen. Allerdings wurden vereinzelt Flaschen, Steine, Farbbeutel und Eier in Richtung der Pegida-Veranstaltung und der Polizei geworfen. Im Rahmen dieser Auseinandersetzungen kam es bis zu Veranstaltungsende zu insgesamt acht vorläufigen Festnahmen wegen Körperverletzung und Sachbeschädigung. Insgesamt wurden 27 Polizeibeamte leicht verletzt, aus den Reihen der Gegendemonstranten wurde der Polizei bislang eine Person bekannt, die durch einen Teilnehmer der Pegida-Veranstaltung leicht verletzt wurde. Des Weiteren wurde versucht, ein abgestelltes Dienstfahrzeug in der Bleidenstrasse in Brand zu setzen. Nach Beendigung der Pegida-Veranstaltung kam es in der Abwanderung dieser Teilnehmer unter anderem zu einem Bengalo-Wurf, bei dem nach bisherigen Informationen niemand verletzt wurde. Gegen ca. 21:30 Uhr waren alle Veranstaltungen und Proteste in der Innenstadt beendet. Die ""Montags-Demo"" am Frankfurter Flughafen verlief mit rund 450 Teilnehmern störungsfrei und ohne Vorkommnisse. Die Ereignisse des Tages können Sie auch auf Twitter: @Polizei_Ffm nachvollziehen.  ";2015-01-27 12:03:00;POL-F: 150127 - 69 Frankfurt: Bilanz zu den Demonstrationen und Veranstaltungen im Stadtgebiet;"https://www.presseportal.de/blaulicht/pm/4970/2935755
";False;2015
 Laute Geräusche vernahm ein aufmerksamer Anwohner am Dienstag um kurz nach 02.00 Uhr vor einem Gebäude in der Straße Alt-Nied, in dessen Erdgeschoss sich ein Wettbüro befindet. Als er der Ursache für den Lärm weiter auf den Grund ging, konnte er beobachten, wie zwei dunkel gekleidete männliche Tatverdächtige  versuchten, die Tür zu den dortigen Räumlichkeiten aufzuhebeln. Möglicherweise durch den Zeugen gestört, ließen die beiden Männer von ihrem Vorhaben ab und flüchteten, konnten aber durch die bereits alarmierten und vor Ort eintreffenden Polizeibeamten verfolgt und noch in Tatortnähe festgenommen werden. Die mutmaßlichen Einbruchswerkzeuge wurden im Rahmen der Fluchtwegabsuche aufgefunden. An der Eingangstür entstand ein Schaden von 1500 Euro. Bei den dringend tatverdächtigen 31 und 33 Jahren alten Männer handelt es sich um ein wohnsitzloses Brüderpaar aus dem Kosovo, die beide in die Haftzellen des Polizeipräsidiums eingeliefert wurden.  ;2015-01-27 12:02:00;POL-F: 150127 - 68 Nied: Versuchter Einbruch in Wettbüro endet mit Festnahme der beiden Tatverdächtigen;"https://www.presseportal.de/blaulicht/pm/4970/2935754
";False;2015
 Nur kurz nach der Veröffentlichung unserer Suchmeldung hat sich die Mutter des 10 Jahre alten Jungen bei der Polizei gemeldet. Das Kind hat durch den Unfall einen Bluterguss erlitten und hatte sich erst einige Zeit danach seiner Mutter anvertraut.  ;2015-01-26 15:54:00;POL-F: 150126 - 67 Rödelheim: Nachtrag zur Meldung 150126 - 66: Verkehrsunfall - Unfallopfer gesucht! Hier: Opfer gefunden!;"https://www.presseportal.de/blaulicht/pm/4970/2935188
";False;2015
 Bereits am Donnerstag, dem 22.01.2015, ereignete sich um 13.10 Uhr in der Thudichumstraße ein Verkehrsunfall, bei dem ein Kind zwischen wartenden Fahrzeugen auf die Straße lief und von einem Pkw erfasst wurde. Der Junge stand auf, entschuldigte sich bei der Pkw-Fahrerin und ging davon. Die 55 Jahre alte Fahrerin eines Suzuki bog von der Reichsburgstraße in die Thudichumstraße ein. Auf der gegenüber liegenden Seite wartenden an einer roten Ampel zwei Fahrzeuge (Höhe Hausnummer 2). Zwischen diesen Fahrzeugen rannte plötzlich ein Junge quer über die Straße. Die Suzuki-Fahrerin konnte nicht mehr bremsen. Das Kind wurde auf die Motorhaube geladen und rutschte anschließend auf den Gehweg. Offenbar unverletzt stand der Junge auf, zog sich einen verlorenen Schuh wieder an, entschuldigte sich bei der Suzuki-Fahrerin und rannte in Richtung Alt-Rödelheim davon. Die Autofahrerin beschreibt das Kind wie folgt: Etwa 8 bis 12 Jahre alt, südländisches Aussehen, dickliche Figur, kurze schwarze Haare, bekleidet mit schwarzer Jogginghose und beiger Jacke. Die Polizei sucht Zeugen, die Angaben zum Unfallhergang machen oder zur Identifizierung des Kindes beitragen können. Sie werden gebeten, sich mit dem 11. Polizeirevier (Tel. 069 / 11100) in Verbindung zu setzen.  ;2015-01-26 13:09:00;POL-F: 150126 - 66 Rödelheim: Verkehrsunfall - Unfallopfer gesucht!;"https://www.presseportal.de/blaulicht/pm/4970/2934869
";False;2015
 Am Sonntagmorgen kurz vor 09.00 Uhr kam es auf der Autobahn 661 in Fahrtrichtung A3 zu einem schweren Verkehrsunfall, bei dem der 61-jährige Fahrer eines Pkw Fiat im Bereich einer Kurve nach links von der Fahrbahn abkam. Das Fahrzeug  überschlug sich mehrfach neben der Fahrbahn und prallte gegen mehrere Bäume, bevor es letztlich total beschädigt auf dem Dach liegen blieb. Der allein im Pkw befindliche Fahrer wurde bei dem Unfall schwer verletzt und in ein Krankenhaus verbracht. Vermutlich kommt als Unfallursache eine nicht an die Witterungsverhältnisse angepasste Geschwindigkeit in Betracht.  ;2015-01-26 11:18:00;POL-F: 150126 - 65 BAB 661- Höhe Offenbacher Kreuz: Pkw überschlägt sich - Fahrer wird schwer verletzt;"https://www.presseportal.de/blaulicht/pm/4970/2934593
";False;2015
