Hauptartikel;Timestamp;Ueberschrift;Link;Old;Year
 Auch in der kommenden Woche werden im Frankfurter Stadtgebiet Geschwindigkeitsmessungen durchgeführt. Die Messgeräte stehen im Bereich folgender Örtlichkeiten: 4. Februar 2013 Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5, Babenhäuser Landstraße, Bundesstraße 43 Anschlussstelle BAB A3, Gerbermühlstraße, Züricher Straße 5. Februar 2013  Bundesstraße 43 Anschlussstelle BAB A3, Babenhäuser Landstraße, Mainzer Landstraße, Hanauer Landstraße, Autobahnkreuz Frankfurt BAB A3/A5, Züricher Straße 6. Februar 2013 BAB A661 Fahrtrichtung Autobahnkreuz Offenbach, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5, Gerbermühlstraße Mainzer Landstraße, Bundesstraße 43 Anschlussstelle BAB A3 7. Februar 2013 Autobahnkreuz Frankfurt BAB A3/A5, Babenhäuser Landstraße, Hanauer Landstraße, Mainzer Landstraße, BAB A661 Fahrtrichtung Autobahnkreuz Offenbach 8. Februar 2013 Mainzer Landstraße, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/A5, Babenhäuser Landstraße, Bundesstraße 43 Anschlussstelle BAB A3, BAB A661 Fahrtrichtung Autobahnkreuz Offenbach Die Geschwindigkeitsmessungen werden fortgesetzt. (Manfred Füllhardt, 069-755 82116)  ;2013-01-31 13:41:00;POL-F: 130131 - 103 Stadtgebiet: Geschwindigkeitsmessungen;"https://www.presseportal.de/blaulicht/pm/4970/2407926
";False;2013
 Am Mittwoch, den 30. Januar 2013, gegen 23.05 Uhr, betrat ein zunächst unbekannter Mann den Verkaufsraum einer Tankstelle im Ratsweg. Aus dem Regal entnahm er zwei Sechserpacks Bier und ging damit ohne zu bezahlen direkt in Richtung Ausgang. Der 28-jährige Angestellte eilte dem Dieb nach und wollte ihn noch auf dem Tankstellengelände stellen. Dieser warf jedoch eines der beiden Sechserpacks Bier nach dem 28-Jährigen und rannte mit dem zweiten Sechserpack in Richtung Ratsweg davon. Der Beschuldigte konnte später im Rahmen der Fahndung bei der Übernachtungsstätte im Ostpark festgenommen werden. Dort hatte er die Bewohner belästigt. Bei dem Festgenommenen handelt es sich um einen 39-jährigen Mann aus München. (Manfred Füllhardt, 069-75582116)  ;2013-01-31 13:00:00;POL-F: 130131 - 103 Bornheim: Diebstahl in Tankstellenshop;"https://www.presseportal.de/blaulicht/pm/4970/2407865
";False;2013
 Wie in der o.a. Meldung gestern berichtet, hatte ein 44-Jähriger aus Frust über die Kündigung seiner Wohnung auf äußerst dilettantische Weise mit einer abenteuerlichen Konstruktion versucht, seine Wohnung in Brand zu stecken. Glücklicherweise versagte aber die Apparatur und der Versuch, die Wohnung in Flammen aufgehen zu lassen, scheiterte kläglich. Nach dem 44-Jährigen wurde seit dem gefahndet. Im Rahmen der durch das hiesige K 15 geführten Ermittlungen wurde die Wohnung sodann zunächst verschlossen und der Wohnungsschlüssel auf dem 18. Revier hinterlegt. Nun aber lief der verkappte Brandstifter zur Hochform auf. Er versuchte heute Morgen, kurz vor 02.00 Uhr, in seine Wohnung zu gelangen, fand aber nur einen Hinweis an der Wohnungstür wonach der Schlüssel auf dem 18. Revier zur Abholung bereitliegen würde. Daraufhin rief er auf dem 18. Revier an und forderte die Beamten auf, ihm per Kurier den Schlüssel zu überbringen. Nachdem dieses Ansinnen wegen anderer Einsätze abschlägig beschieden wurde, kam seitens der Beamten der Vorschlag, doch auf dem Revier vorzusprechen und den Schlüssel persönlich in Empfang zu nehmen. Wenig später erschien dann der 44-Jährige auf dem Revier, wurde dort umgehend festgenommen und in die Haftzellen des Polizeipräsidiums eingeliefert. Er muss sich jetzt wegen des Vorwurfs der besonders schweren Brandstiftung verantworten. (Manfred Vonhausen, Tel. 069/755-82113)  ;2013-01-31 13:00:00;"POL-F: 130131 - 102 Bergen-Enkheim: Ergänzung zu unserer gestrigen Meldung Nr. 99 ""Hobbywissenschaftler versucht seine Wohnung anzustecken""";"https://www.presseportal.de/blaulicht/pm/4970/2407864
";False;2013
 Insgesamt zehn Gartenhütten wurden zwischen Montag und Dienstag in einer Kleingartenkolonie im Biegweg aufgebrochen. Um auf das Gelände zu gelangen, zerschnitt der Täter den auf einem Zaun angebrachten Stacheldraht. Anschließend wurde eine Hütte nach der anderen aufgebrochen. Es wurden zahlreiche Gegenstände entwendet, darunter ein Bohrschrauber, ein Winkelschneider, eine Kaffeemaschine, sowie Kabelrollen. Die Ermittlungen in der Sache dauern an. (Rüdiger Reges, 069-755 82111)  ;2013-01-30 11:42:00;POL-F: 130130 - 101 Frankfurt-Bockenheim: Gartenhütten aufgebrochen;"https://www.presseportal.de/blaulicht/pm/4970/2406997
";False;2013
 An insgesamt 27 Kellern eines Mehrfamilienhauses versuchte sich ein bislang unbekannter Einbrecher in den vergangenen Wochen. Nach dem gegenwärtigen Stand der Ermittlungen gelang es ihm offenbar, einen der Keller aufzubrechen und einen dort abgestellten Plasmafernseher im Wert von 150 EUR zu entwenden. Die Ermittlungen wurden aufgenommen. (Manfred Vonhausen, 069-755 82113)  ;2013-01-30 11:41:00;POL-F: 130130 - 100 Frankfurt-Heddernheim: Kelleraufbrecher unterwegs;"https://www.presseportal.de/blaulicht/pm/4970/2406994
";False;2013
" Aus Frust über die Kündigung seiner Vermieterin hatte gestern ein 44 Jahre alter Mann in seiner Wohnung im Schelmenweg eine abenteuerliche und brandgefährliche Konstruktion ganz nach dem Vorbild Jean Pütz gebaut und damit versucht, Schaden anzurichten. Mit einer selbstgebastelten Brandfalle hatte der von den Mitbewohnern als aggressiv beschriebene Mann seine Wohnung anzünden wollen. Hierzu bediente er sich eines eingeschalteten Haartrockners, einer eingeschalteten Herdplatte mit Zeitschaltuhr und einer manipulierten Steckdose. Das ganze versuchte er zeitverzögert mit verschiedensten Chemikalien, darunter auch Explosivstoffe, in Verbindung zu bringen, die er zu Hause gelagert hatte. Nach Fertigstellung seines hochgefährlichen Projektes verließ er die Wohnung, in der Erwartung, dass sich die ""Mischung"" wenig später entzünden würde. Eine Nachbarin verständigte im Laufe des Tages die Wohnungseigentümerin, da sie den seit morgens 07.00 Uhr permanent laufenden Fön hörte und sich Sorgen machte. Die Vermieterin öffnete schließlich die Wohnung und verständigte umgehend die Polizei. Mit Unterstützung der Feuerwehr wurde die Konstruktion begutachtet und schließlich abgebaut und die Chemikalien sichergestellt. Eine sofortige Fahndung nach dem 44-Jährigen verlief bislang negativ. (Isabell Neumann, 069-755 82115)  ";2013-01-30 11:41:00;POL-F: 130130 - 099 Frankfurt/Bergen-Enkheim: Hobbywissenschaftler versucht seine Wohnung anzustecken;"https://www.presseportal.de/blaulicht/pm/4970/2406992
";False;2013
" Zwei 31 und 37 Jahre alte Diebe hatten es heute Nacht in Sachsenhausen ausschließlich auf ""die Kleinsten"" abgesehen und in Windeseile drei Smarts aufgebrochen. Zwischen 02:10 Uhr und 02:40 Uhr machten sich die zwei Männer in der Schifferstraße, dann in der Launitzstraße und letztendlich in der Danneckerstraße an den Zweisitzern zu schaffen und stahlen alles was das Diebesherz begehrte. Neben zwei Markensonnenbrillen und einem i-Pod, sollten auch eine Ledertasche, eine Herrenjacke, einen FM-Transmitter und sogar ein Satz Schneeketten mitgehen. Doch die Freude über das neu erworbene Gut währte nicht lange. Zivilbeamte hatten die sich äußerst verdächtig verhaltenden Langfinger schon unter Beobachtung. Nur wenige Minuten nach ihrer Diebestour bekamen sie die Gegenstände wieder abgenommen und die Handschellen angelegt. Die zwei Wohnsitzlosen wurden anschließend in das Polizeigewahrsam gebracht. (Isabell Neumann, Tel. 069 - 755 82115)  ";2013-01-29 11:19:00;POL-F: 130129 - 98 Sachsenhausen: Smart-Aufbrecher festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/2406216
";False;2013
 Ein Falschfahrer verursachte heute gegen 13.40 Uhr auf der BAB 66 in Fahrtrichtung Wiesbaden einen Verkehrsunfall, bei dem er selbst und eine 46 Jahre alte Frau aus Frankfurt schwer verletzt wurden. Nach ersten Erkenntnissen fuhr der 69 Jahre alte und aus Kriftel stammende Fahrer eines Opel Corsa an der Anschlussstelle Hattersheim-West in falscher Richtung auf die BAB 66 auf. Der Fahrer fuhr auf der Richtungsfahrbahn Wiesbaden in Richtung Frankfurt. Zwischen der Anschlussstelle Hattersheim-Ost und dem Krifteler Dreieck kam es zum Zusammenstoß zwischen dem Opel und dem Mercedes der 46-jährigen. Dabei wurden beide Personen schwer verletzt und in Krankenhäuser gebracht. Lebensgefahr besteht nach ersten Angaben nicht. Die Autobahn in Richtung Wiesbaden musste für die Dauer der Bergungs- und Aufräumarbeiten bis 15.35 Uhr voll gesperrt werden. Es entstand Sachschaden in Höhe von mehreren tausend Euro. Warum der Mann falsch auffuhr, ist bislang unklar. (Rüdiger Reges, Tel. 069 / 755-82111)  ;2013-01-28 15:50:00;POL-F: 130128 -  97 Bundesautobahn 66: Falschfahrer verursacht Verkehrsunfall;"https://www.presseportal.de/blaulicht/pm/4970/2405807
";False;2013
 Am Montag, den 28. Januar 2013, gegen 02.10 Uhr, löste der Einbruchsmelder eines Juweliergeschäftes in der Berger Straße aus. Wie die Polizei dann feststellen konnte, hatten bislang unbekannte Täter versucht, mittels eines Pflastersteines die aus Sicherheitsglas bestehende Schaufensterscheibe einzuschlagen. Nachdem das Vorhaben gescheitert war, ergriffen die Unbekannten die Flucht. Der durch den Einbruchsversuch entstandene Sachschaden beziffert sich auf etwa 10.000 EUR. Die Polizei bittet Zeugen, die sachdienliche Hinweise geben können, sich mit dem Kriminaldauerdienst der Frankfurter Polizei unter der Rufnummer 069-755 53111 in Verbindung zu setzen. (Manfred Füllhardt, 069-75582116)  ;2013-01-28 11:44:00;POL-F: 130128 - 96 Frankfurt-Bornheim: Versuchter Einbruchsdiebstahl in Juweliergeschäft;"https://www.presseportal.de/blaulicht/pm/4970/2405379
";False;2013
 Am Montag, den 28. Januar 2013, gegen 00.15 Uhr, wollten sich zwei Frauen in einer Wohnung in einem Mehrparteienhaus in der Bernadottestraße Essen zubereiten. Dabei kam es aus bislang ungeklärter Ursache zu einem Brand im Bereich der Dunstabzugshaube bzw. des Herdes. Die beiden Frauen im Alter von 17 und 19 Jahren konnten die Wohnung noch rechtzeitig mit weiteren Mitbewohnern verlassen. Durch die Feuerwehr wurden dann die restlichen Bewohner des Hauses evakuiert. Zwei Personen mussten vor Ort behandelt werden, 14 Personen wurden wegen des Verdachts auf Rauchgasintoxikation in verschiedene Krankenhäuser verbracht. Mit Ausnahme der Brandwohnung konnte das Haus nach Ende des Feuerwehreinsatzes wieder freigegeben werden. Die Ermittlungen dauern an. (Manfred Füllhardt, 069-75582116)  ;2013-01-28 11:44:00;POL-F: 130128 - 95 Frankfurt-Praunheim: Wohnungsbrand;"https://www.presseportal.de/blaulicht/pm/4970/2405376
";False;2013
