Address;AddressFM;location;point;Lat;Long
Im Tiefen Weg;Frankfurt am Main Im Tiefen Weg;Im Tiefen Weg, Sossenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65936, Deutschland;50.12221, 8.5586904, 0.0;50.12221; 8.5586904
Im Triborn;Frankfurt am Main Im Triborn;Im Triborn, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1575548, 8.7677171, 0.0;50.1575548; 8.7677171
Im Trieb;Frankfurt am Main Im Trieb;Im Trieb, Wagenplatz Borsigallee, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60389, Deutschland;50.1399627, 8.7274101, 0.0;50.1399627; 8.7274101
Im Trierischen Hof;Frankfurt am Main Im Trierischen Hof;Im Trierischen Hof, Innenstadt, Altstadt, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60311, Deutschland;50.1126836, 8.6853331, 0.0;50.1126836; 8.6853331
Im Trutz Frankfurt;Frankfurt am Main Im Trutz Frankfurt;Im Trutz Frankfurt, Westend Nord, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60322, Deutschland;50.1210623, 8.6734794, 0.0;50.1210623; 8.6734794
Im Uhrig;Frankfurt am Main Im Uhrig;Im Uhrig, Eschersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60433, Deutschland;50.1660143, 8.6552095, 0.0;50.1660143; 8.6552095
Im Vogelsgesang;Frankfurt am Main Im Vogelsgesang;Im Vogelsgesang, Hausen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60488, Deutschland;50.1376016, 8.6261789, 0.0;50.1376016; 8.6261789
Im Waldfeld;Frankfurt am Main Im Waldfeld;Im Waldfeld, Hausen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60488, Deutschland;50.1363585, 8.6225629, 0.0;50.1363585; 8.6225629
Im Weidenfeld;Frankfurt am Main Im Weidenfeld;Im Weidenfeld, Nieder-Eschbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.2062791, 8.6684005, 0.0;50.2062791; 8.6684005
Im Weidensee;Frankfurt am Main Im Weidensee;Im Weidensee, Unterliederbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.100927, 8.5316906, 0.0;50.100927; 8.5316906
Im Weimel;Frankfurt am Main Im Weimel;Im Weimel, Praunheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1533274, 8.6270961, 0.0;50.1533274; 8.6270961
